Governorate,siteId,activityId,locationId,location,partnerId,Partner,activity,activityCategory,indicatorId,Value,Indicator,month,database,indicatorCategory,Units,month.1,region.x,district,subdistrict,refugee.camps,camp.districts,comments,appeal,Fundedby,allocation,Camp,ITS,Other,Urban,Category,sector,gcode,gov,rcode,region,StartDate,men,women,boy,girl,Gender,SiteType
Al Balqa,1703708089,4120,850741481,Al Balqa Governorate,8,Caritas,5. Increased awareness about tenure,SHELTER-1. Host Communities,24072,48,Syrian Women in Urban,2014-03,1064,Impacted population this month,Individual,2014-03,Central,,,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1702,BALQA,2,Center,01/03/2014,Men,Women,,,WomenMen,   Urban areas - 
Al Balqa,1703708089,4120,850741481,Al Balqa Governorate,8,Caritas,5. Increased awareness about tenure,SHELTER-1. Host Communities,24078,70,# of people receiving information messaging on housing (HLP),2014-08,1064,RRP6 - Performance Indicators,#,2014-08,Central,,,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1702,BALQA,2,Center,01/08/2014,,,,,,   Urban areas - 
Al Balqa,1053521378,4119,216998920,Liwa Qasabat As Salt,1070,PU-AMI,4. HH adapt housing to overcome harsh weather,SHELTER-1. Host Communities,24067,23,Women - Other affected Population,2014-04,1064,Impacted population this month,Individual,2014-04,Central,Qasabat As Salt,,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1702,BALQA,2,Center,01/04/2014,Men,Women,,,WomenMen,   Urban areas - 
Al Balqa,1053521378,4119,216998920,Liwa Qasabat As Salt,1070,PU-AMI,4. HH adapt housing to overcome harsh weather,SHELTER-1. Host Communities,24066,30,Boys - Other affected Population,2014-04,1064,Impacted population this month,Individual,2014-04,Central,Qasabat As Salt,,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1702,BALQA,2,Center,01/04/2014,,,Boys,,Boys,   Urban areas - 
Al Balqa,1703708089,4120,850741481,Al Balqa Governorate,8,Caritas,5. Increased awareness about tenure,SHELTER-1. Host Communities,24072,36,Syrian Women in Urban,2014-11,1064,Impacted population this month,Individual,2014-11,Central,,,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1702,BALQA,2,Center,01/11/2014,Men,Women,,,WomenMen,   Urban areas - 
Al Balqa,1053521378,4119,216998920,Liwa Qasabat As Salt,1070,PU-AMI,4. HH adapt housing to overcome harsh weather,SHELTER-1. Host Communities,24069,100,# of conditional cash grants / shelter kits distributed,2014-04,1064,RRP6 - Performance Indicators,#,2014-04,Central,Qasabat As Salt,,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1702,BALQA,2,Center,01/04/2014,,,,,,   Urban areas - 
Al Balqa,340111539,4116,361843324,Liwa ash Shunah al Janubiyah,729,JHAS,1. Housing units upgraded to minimum standard,SHELTER-1. Host Communities,24047,37,# of dwelling units upgraded to adequate standard,2014-07,1064,RRP6 - Performance Indicators,#,2014-07,Central,Ash Shuna Al Janoubyah,Ash Shuna Al Janoubyah,,,"Since 2013 we have upgraded 1570 shelter units in different areas: Amman, Irbid, Ramtha, Mafraq, Jordan Valley.

Our target for the current project is 400 shelters from 15/3/2014 till 31/7/2014, the budget is 370 JD per shelter, we are doing upgrades in Zarqa, Jarash , Ajlun, in addition to the areas mentioned above.

Our Activities per shelter include :

 - Electrical works: Installation and maintenance of electricity sockets, wiring, light bulbs with focus on electrical safety around the house.

- Walls and ceiling : Painting of walls/ceiling with focus on moisture.

- Security: Installation and maintenance of the main door and main door locks.

-Ventilation: Installation of window glass and mosquito nets.

- WASH: Provision of plastic water tanks (2 square m) for families that don’t have one, or share their water tank with the owner or the neighbors, and replacement of rusted water tanks. Provision and fixing of the sink, water mixer, water taps, shower, pipes, installation of toilets and latrines, with attention to handicap needs.

- Privacy: Installation of door locks and partition walls for households with overcrowded conditions, with attention to female and couple’s privacy needs.

-Provision of hygiene kits to each targeted household, with possibility of provision of core NFIs (mattresses, summer blankets, pillows, plastic buckets) where needed.

Shelter/WASH activities are  based on  technical assessment  of the house condition as well as an assessment of the family condition according to the following criteria: 

1-Female headed households.
2-  Households with more than one family / overcrowded.
3- Pregnant and lactating women.
4-  Families with children under 5 years old.
5- Families with poor / harsh financial conditions.
6-  Handicap and chronic diseases in the family that requires special care and additional financial burden.
7- Elderly and orphans.
8-   Families without a provider.
9-  Rent is over 100 JDs per month.
10- There is a need for Shelter / WASH services.

We sign an agreement between the owner and the maintenance company to allow to us to do these upgrades and approve at least one of these conditions:

1- Non -eviction clause ( three to six month)
2- Debt forgiveness
3- Reduction of rent (20 JOD).",Appeal outside of RRP6,None,No, , , ,Urban areas,1. Host Communities,SHELTER,1702,BALQA,2,Center,01/07/2014,,,,,,   Urban areas - 
Al Balqa,1053521378,4119,216998920,Liwa Qasabat As Salt,1070,PU-AMI,4. HH adapt housing to overcome harsh weather,SHELTER-1. Host Communities,24065,30,Girls - Other affected Population,2014-04,1064,Impacted population this month,Individual,2014-04,Central,Qasabat As Salt,,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1702,BALQA,2,Center,01/04/2014,,,,Girls,Girls,   Urban areas - 
Al Balqa,1053521378,4119,216998920,Liwa Qasabat As Salt,1070,PU-AMI,4. HH adapt housing to overcome harsh weather,SHELTER-1. Host Communities,24061,168,Syrian Girls in Urban,2014-04,1064,Impacted population this month,Individual,2014-04,Central,Qasabat As Salt,,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1702,BALQA,2,Center,01/04/2014,,,,Girls,Girls,   Urban areas - 
Al Balqa,179998132,4118,216998920,Liwa Qasabat As Salt,773,ICMC,3. Refugees enabled to pay rent on time,SHELTER-1. Host Communities,24057,16,# of HH heads receiving rental support,2013-12,1064,RRP6 - Performance Indicators,Individual,2013-12,Central,Qasabat As Salt,,,,"Households are provided with 4 months of rental assistance, with a total target of 350 households. This is 70% Syrian and 30% Jordanian. ",Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1702,BALQA,2,Center,01/12/2013,,,,,,   Urban areas - 
Al Balqa,1703708089,4120,850741481,Al Balqa Governorate,8,Caritas,5. Increased awareness about tenure,SHELTER-1. Host Communities,24073,34,Syrian Men in Urban,2014-08,1064,Impacted population this month,Individual,2014-08,Central,,,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1702,BALQA,2,Center,01/08/2014,Men,,,,Men,   Urban areas - 
Al Balqa,1703708089,4120,850741481,Al Balqa Governorate,8,Caritas,5. Increased awareness about tenure,SHELTER-1. Host Communities,24078,119,# of people receiving information messaging on housing (HLP),2014-03,1064,RRP6 - Performance Indicators,#,2014-03,Central,,,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1702,BALQA,2,Center,01/03/2014,,,,,,   Urban areas - 
Al Balqa,179998132,4118,216998920,Liwa Qasabat As Salt,773,ICMC,3. Refugees enabled to pay rent on time,SHELTER-1. Host Communities,24057,1,# of HH heads receiving rental support,2014-09,1064,RRP6 - Performance Indicators,Individual,2014-09,Central,Qasabat As Salt,,,,"Households are provided with 4 months of rental assistance, with a total target of 350 households. This is 70% Syrian and 30% Jordanian. ",Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1702,BALQA,2,Center,01/09/2014,,,,,,   Urban areas - 
Al Balqa,1703708089,4120,850741481,Al Balqa Governorate,8,Caritas,5. Increased awareness about tenure,SHELTER-1. Host Communities,24072,36,Syrian Women in Urban,2014-08,1064,Impacted population this month,Individual,2014-08,Central,,,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1702,BALQA,2,Center,01/08/2014,Men,Women,,,WomenMen,   Urban areas - 
Al Balqa,1703708089,4120,850741481,Al Balqa Governorate,8,Caritas,5. Increased awareness about tenure,SHELTER-1. Host Communities,24072,36,Syrian Women in Urban,2014-12,1064,Impacted population this month,Individual,2014-12,Central,,,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1702,BALQA,2,Center,01/12/2014,Men,Women,,,WomenMen,   Urban areas - 
Al Balqa,1703708089,4120,850741481,Al Balqa Governorate,8,Caritas,5. Increased awareness about tenure,SHELTER-1. Host Communities,24073,39,Syrian Men in Urban,2014-11,1064,Impacted population this month,Individual,2014-11,Central,,,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1702,BALQA,2,Center,01/11/2014,Men,,,,Men,   Urban areas - 
Al Balqa,1703708089,4120,850741481,Al Balqa Governorate,8,Caritas,5. Increased awareness about tenure,SHELTER-1. Host Communities,24073,71,Syrian Men in Urban,2014-03,1064,Impacted population this month,Individual,2014-03,Central,,,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1702,BALQA,2,Center,01/03/2014,Men,,,,Men,   Urban areas - 
Al Balqa,1703708089,4120,850741481,Al Balqa Governorate,8,Caritas,5. Increased awareness about tenure,SHELTER-1. Host Communities,24073,39,Syrian Men in Urban,2014-12,1064,Impacted population this month,Individual,2014-12,Central,,,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1702,BALQA,2,Center,01/12/2014,Men,,,,Men,   Urban areas - 
Al Balqa,179998132,4118,216998920,Liwa Qasabat As Salt,773,ICMC,3. Refugees enabled to pay rent on time,SHELTER-1. Host Communities,24057,6,# of HH heads receiving rental support,2014-12,1064,RRP6 - Performance Indicators,Individual,2014-12,Central,Qasabat As Salt,,,,"Households are provided with 4 months of rental assistance, with a total target of 350 households. This is 70% Syrian and 30% Jordanian. ",Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1702,BALQA,2,Center,01/12/2014,,,,,,   Urban areas - 
Amman,115764284,4119,1633208053,Liwa Marka,1070,PU-AMI,4. HH adapt housing to overcome harsh weather,SHELTER-1. Host Communities,24064,12,Syrian Men in Urban,2013-12,1064,Impacted population this month,Individual,2013-12,Central,Marka,Marka,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1705,AMMAN,2,Center,01/12/2013,Men,,,,Men,   Urban areas - 
Amman,115764284,4119,1633208053,Liwa Marka,1070,PU-AMI,4. HH adapt housing to overcome harsh weather,SHELTER-1. Host Communities,24061,324,Syrian Girls in Urban,2014-01,1064,Impacted population this month,Individual,2014-01,Central,Marka,Marka,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1705,AMMAN,2,Center,01/01/2014,,,,Girls,Girls,   Urban areas - 
Amman,115764284,4119,1633208053,Liwa Marka,1070,PU-AMI,4. HH adapt housing to overcome harsh weather,SHELTER-1. Host Communities,24062,78,Syrian Boys in Urban,2014-04,1064,Impacted population this month,Individual,2014-04,Central,Marka,Marka,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1705,AMMAN,2,Center,01/04/2014,,,Boys,,Boys,   Urban areas - 
Amman,115764284,4119,1633208053,Liwa Marka,1070,PU-AMI,4. HH adapt housing to overcome harsh weather,SHELTER-1. Host Communities,24066,184,Boys - Other affected Population,2014-01,1064,Impacted population this month,Individual,2014-01,Central,Marka,Marka,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1705,AMMAN,2,Center,01/01/2014,,,Boys,,Boys,   Urban areas - 
Amman,115764284,4119,1633208053,Liwa Marka,1070,PU-AMI,4. HH adapt housing to overcome harsh weather,SHELTER-1. Host Communities,24062,20,Syrian Boys in Urban,2013-12,1064,Impacted population this month,Individual,2013-12,Central,Marka,Marka,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1705,AMMAN,2,Center,01/12/2013,,,Boys,,Boys,   Urban areas - 
Amman,115764284,4119,1633208053,Liwa Marka,1070,PU-AMI,4. HH adapt housing to overcome harsh weather,SHELTER-1. Host Communities,24065,9,Girls - Other affected Population,2014-03,1064,Impacted population this month,Individual,2014-03,Central,Marka,Marka,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1705,AMMAN,2,Center,01/03/2014,,,,Girls,Girls,   Urban areas - 
Amman,115764284,4119,1633208053,Liwa Marka,1070,PU-AMI,4. HH adapt housing to overcome harsh weather,SHELTER-1. Host Communities,24067,7,Women - Other affected Population,2014-03,1064,Impacted population this month,Individual,2014-03,Central,Marka,Marka,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1705,AMMAN,2,Center,01/03/2014,Men,Women,,,WomenMen,   Urban areas - 
Amman,115764284,4119,1633208053,Liwa Marka,1070,PU-AMI,4. HH adapt housing to overcome harsh weather,SHELTER-1. Host Communities,24062,303,Syrian Boys in Urban,2014-01,1064,Impacted population this month,Individual,2014-01,Central,Marka,Marka,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1705,AMMAN,2,Center,01/01/2014,,,Boys,,Boys,   Urban areas - 
Amman,2073181299,4120,335621882,Amman Governorate,8,Caritas,5. Increased awareness about tenure,SHELTER-1. Host Communities,24073,91,Syrian Men in Urban,2014-12,1064,Impacted population this month,Individual,2014-12,Central,,,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1705,AMMAN,2,Center,01/12/2014,Men,,,,Men,   Urban areas - 
Amman,115764284,4119,1633208053,Liwa Marka,1070,PU-AMI,4. HH adapt housing to overcome harsh weather,SHELTER-1. Host Communities,24064,72,Syrian Men in Urban,2014-03,1064,Impacted population this month,Individual,2014-03,Central,Marka,Marka,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1705,AMMAN,2,Center,01/03/2014,Men,,,,Men,   Urban areas - 
Amman,2073181299,4120,335621882,Amman Governorate,8,Caritas,5. Increased awareness about tenure,SHELTER-1. Host Communities,24072,102,Syrian Women in Urban,2014-08,1064,Impacted population this month,Individual,2014-08,Central,,,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1705,AMMAN,2,Center,01/08/2014,Men,Women,,,WomenMen,   Urban areas - 
Amman,2073181299,4120,335621882,Amman Governorate,8,Caritas,5. Increased awareness about tenure,SHELTER-1. Host Communities,24072,84,Syrian Women in Urban,2014-12,1064,Impacted population this month,Individual,2014-12,Central,,,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1705,AMMAN,2,Center,01/12/2014,Men,Women,,,WomenMen,   Urban areas - 
Amman,115764284,4119,1633208053,Liwa Marka,1070,PU-AMI,4. HH adapt housing to overcome harsh weather,SHELTER-1. Host Communities,24069,369,# of conditional cash grants / shelter kits distributed,2014-02,1064,RRP6 - Performance Indicators,#,2014-02,Central,Marka,Marka,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1705,AMMAN,2,Center,01/02/2014,,,,,,   Urban areas - 
Amman,115764284,4119,1633208053,Liwa Marka,1070,PU-AMI,4. HH adapt housing to overcome harsh weather,SHELTER-1. Host Communities,24068,130,Men - Other affected Population,2014-01,1064,Impacted population this month,Individual,2014-01,Central,Marka,Marka,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1705,AMMAN,2,Center,01/01/2014,Men,,,,Men,   Urban areas - 
Amman,115764284,4119,1633208053,Liwa Marka,1070,PU-AMI,4. HH adapt housing to overcome harsh weather,SHELTER-1. Host Communities,24067,94,Women - Other affected Population,2014-02,1064,Impacted population this month,Individual,2014-02,Central,Marka,Marka,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1705,AMMAN,2,Center,01/02/2014,Men,Women,,,WomenMen,   Urban areas - 
Amman,115764284,4119,1633208053,Liwa Marka,1070,PU-AMI,4. HH adapt housing to overcome harsh weather,SHELTER-1. Host Communities,24064,70,Syrian Men in Urban,2014-04,1064,Impacted population this month,Individual,2014-04,Central,Marka,Marka,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1705,AMMAN,2,Center,01/04/2014,Men,,,,Men,   Urban areas - 
Amman,115764284,4119,1633208053,Liwa Marka,1070,PU-AMI,4. HH adapt housing to overcome harsh weather,SHELTER-1. Host Communities,24064,346,Syrian Men in Urban,2014-01,1064,Impacted population this month,Individual,2014-01,Central,Marka,Marka,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1705,AMMAN,2,Center,01/01/2014,Men,,,,Men,   Urban areas - 
Amman,115764284,4119,1633208053,Liwa Marka,1070,PU-AMI,4. HH adapt housing to overcome harsh weather,SHELTER-1. Host Communities,24069,37,# of conditional cash grants / shelter kits distributed,2014-03,1064,RRP6 - Performance Indicators,#,2014-03,Central,Marka,Marka,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1705,AMMAN,2,Center,01/03/2014,,,,,,   Urban areas - 
Amman,2073181299,4120,335621882,Amman Governorate,8,Caritas,5. Increased awareness about tenure,SHELTER-1. Host Communities,24073,19,Syrian Men in Urban,2014-01,1064,Impacted population this month,Individual,2014-01,Central,,,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1705,AMMAN,2,Center,01/01/2014,Men,,,,Men,   Urban areas - 
Amman,115764284,4119,1633208053,Liwa Marka,1070,PU-AMI,4. HH adapt housing to overcome harsh weather,SHELTER-1. Host Communities,24061,67,Syrian Girls in Urban,2014-03,1064,Impacted population this month,Individual,2014-03,Central,Marka,Marka,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1705,AMMAN,2,Center,01/03/2014,,,,Girls,Girls,   Urban areas - 
Amman,2073181299,4120,335621882,Amman Governorate,8,Caritas,5. Increased awareness about tenure,SHELTER-1. Host Communities,24073,98,Syrian Men in Urban,2014-08,1064,Impacted population this month,Individual,2014-08,Central,,,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1705,AMMAN,2,Center,01/08/2014,Men,,,,Men,   Urban areas - 
Amman,2073181299,4120,335621882,Amman Governorate,8,Caritas,5. Increased awareness about tenure,SHELTER-1. Host Communities,24077,32,Men - Other affected Population,2014-01,1064,Impacted population this month,Individual,2014-01,Central,,,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1705,AMMAN,2,Center,01/01/2014,Men,,,,Men,   Urban areas - 
Amman,2073181299,4120,335621882,Amman Governorate,8,Caritas,5. Increased awareness about tenure,SHELTER-1. Host Communities,24077,98,Men - Other affected Population,2014-03,1064,Impacted population this month,Individual,2014-03,Central,,,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1705,AMMAN,2,Center,01/03/2014,Men,,,,Men,   Urban areas - 
Amman,2073181299,4120,335621882,Amman Governorate,8,Caritas,5. Increased awareness about tenure,SHELTER-1. Host Communities,24073,65,Syrian Men in Urban,2014-11,1064,Impacted population this month,Individual,2014-11,Central,,,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1705,AMMAN,2,Center,01/11/2014,Men,,,,Men,   Urban areas - 
Amman,2073181299,4120,335621882,Amman Governorate,8,Caritas,5. Increased awareness about tenure,SHELTER-1. Host Communities,24072,60,Syrian Women in Urban,2014-11,1064,Impacted population this month,Individual,2014-11,Central,,,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1705,AMMAN,2,Center,01/11/2014,Men,Women,,,WomenMen,   Urban areas - 
Amman,2073181299,4120,335621882,Amman Governorate,8,Caritas,5. Increased awareness about tenure,SHELTER-1. Host Communities,24073,59,Syrian Men in Urban,2014-03,1064,Impacted population this month,Individual,2014-03,Central,,,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1705,AMMAN,2,Center,01/03/2014,Men,,,,Men,   Urban areas - 
Amman,2073181299,4120,335621882,Amman Governorate,8,Caritas,5. Increased awareness about tenure,SHELTER-1. Host Communities,24072,51,Syrian Women in Urban,2014-02,1064,Impacted population this month,Individual,2014-02,Central,,,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1705,AMMAN,2,Center,01/02/2014,Men,Women,,,WomenMen,   Urban areas - 
Amman,115764284,4119,1633208053,Liwa Marka,1070,PU-AMI,4. HH adapt housing to overcome harsh weather,SHELTER-1. Host Communities,24062,94,Syrian Boys in Urban,2014-03,1064,Impacted population this month,Individual,2014-03,Central,Marka,Marka,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1705,AMMAN,2,Center,01/03/2014,,,Boys,,Boys,   Urban areas - 
Amman,2073181299,4120,335621882,Amman Governorate,8,Caritas,5. Increased awareness about tenure,SHELTER-1. Host Communities,24072,13,Syrian Women in Urban,2014-01,1064,Impacted population this month,Individual,2014-01,Central,,,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1705,AMMAN,2,Center,01/01/2014,Men,Women,,,WomenMen,   Urban areas - 
Amman,2073181299,4120,335621882,Amman Governorate,8,Caritas,5. Increased awareness about tenure,SHELTER-1. Host Communities,24072,32,Syrian Women in Urban,2014-07,1064,Impacted population this month,Individual,2014-07,Central,,,,,,Direct appeal,None,Yes, , , ,Urban areas,1. Host Communities,SHELTER,1705,AMMAN,2,Center,01/07/2014,Men,Women,,,WomenMen,   Urban areas - 
