"","indic","Governorate","siteId","activityId","locationId","location","partnerId","Partner","activity","activityCategory","indicatorId","Value","indicatorName","month","database","indicatorCategory","Units","month.1","region.x","district","subdistrict","refugee.camps","camp.districts","comments","appeal","Fundedby","allocation","Camp","ITS","Other","Urban","Category","sector","gcode","gov","rcode","region","men","girl","women","boy","Gender","SiteType","StartDate","poptype","indic2","X","Indicator"
"3748"," # receiving essential sanitary items","Zarqa",1722371748,4095,1421634138,"Azraq Camp",20,"NRC","3. Essential sanitary items provided","NFI-1. Basic needs",23823,1908,"Syrian Women in Camp- # receiving essential sanitary items","2014-06",1064,"RRP6 - Performance Indicators","Individual","2014-06","Central","Zarqa Qasabah","Al Azraq","Azraq",,"","Indirect appeal","UNHCR","Yes","Camp"," "," "," ","1. Basic needs","NFI","1712","ZARQA","1","North","Men","","Women","","Women","Camp    - ","01/06/2014","Camp"," # receiving essential sanitary items",11,"# receiving essential sanitary items"
"3749"," # receiving essential sanitary items","Mafraq",197393893,4095,1048500186,"Mafraq Governorate",146,"LWF","3. Essential sanitary items provided","NFI-1. Basic needs",23827,821,"Syrian Women in Urban- # receiving essential sanitary items","2014-08",1064,"RRP6 - Performance Indicators","Individual","2014-08","North",,,,,"","Appeal outside of RRP6","None","Yes"," "," "," ","Urban areas","1. Basic needs","NFI","1711","MAFRAQ","1","North","Men","","Women","","Women","   Urban areas - ","01/08/2014","Urban"," # receiving essential sanitary items",11,"# receiving essential sanitary items"
"3750"," # receiving essential sanitary items","Mafraq",381717007,4095,637337121,"Zaatari Camp (all district)",20,"NRC","3. Essential sanitary items provided","NFI-1. Basic needs",23823,340,"Syrian Women in Camp- # receiving essential sanitary items","2014-06",1064,"RRP6 - Performance Indicators","Individual","2014-06","North","Badiah Shamaliyah Gharbiyah","Al Khaldyah","Zaatari Camp",,"","Indirect appeal","UNHCR","Yes","Camp"," "," "," ","1. Basic needs","NFI","1711","MAFRAQ","1","North","Men","","Women","","Women","Camp    - ","01/06/2014","Camp"," # receiving essential sanitary items",11,"# receiving essential sanitary items"
"3751"," # receiving essential sanitary items","Mafraq",381717007,4095,637337121,"Zaatari Camp (all district)",20,"NRC","3. Essential sanitary items provided","NFI-1. Basic needs",23824,21134,"Syrian Men in Camp- # receiving essential sanitary items","2014-02",1064,"RRP6 - Performance Indicators","Individual","2014-02","North","Badiah Shamaliyah Gharbiyah","Al Khaldyah","Zaatari Camp",,"","Indirect appeal","UNHCR","Yes","Camp"," "," "," ","1. Basic needs","NFI","1711","MAFRAQ","1","North","Men","","","","Men","Camp    - ","01/02/2014","Camp"," # receiving essential sanitary items",11,"# receiving essential sanitary items"
"3752"," # receiving essential sanitary items","Mafraq",381717007,4095,637337121,"Zaatari Camp (all district)",20,"NRC","3. Essential sanitary items provided","NFI-1. Basic needs",23824,2668,"Syrian Men in Camp- # receiving essential sanitary items","2014-03",1064,"RRP6 - Performance Indicators","Individual","2014-03","North","Badiah Shamaliyah Gharbiyah","Al Khaldyah","Zaatari Camp",,"","Indirect appeal","UNHCR","Yes","Camp"," "," "," ","1. Basic needs","NFI","1711","MAFRAQ","1","North","Men","","","","Men","Camp    - ","01/03/2014","Camp"," # receiving essential sanitary items",11,"# receiving essential sanitary items"
"3753"," # receiving essential sanitary items","Zarqa",171644950,4095,1413109440,"Zarqa Governorate",255,"ACTED","3. Essential sanitary items provided","NFI-1. Basic needs",23825,173,"Syrian Girls in Urban- # receiving essential sanitary items","2014-12",1064,"RRP6 - Performance Indicators","Individual","2014-12","Central",,,,,"Improvement of access to essential WASH NFIs (including personal hygiene/dignity, household hygiene, WASH, and baby items) on a three-month replenishment basis of consumable items through a voucher-based system. 

Voucher values have been determined based on standards agreed by the WASH/NFI Working Group - household generally receive 5 vouchers to the value of 10JD each - larger Household may be eligible to more vouchers to meet their basic needs. . The voucher-based system is intended to optimism efficiency of aid delivery, supporting rather than undermining local markets, and enabling prioritization by beneficiaries of their own needs

Number of Hygiene kits distributed= number of WASH NFI vouchers given out.","Direct appeal","None","Yes"," ","Informal Tented Settlement"," ","Urban areas","1. Basic needs","NFI","1712","ZARQA","1","North","","Girls","","","Girls"," Informal Tented Settlement Urban areas - ","01/12/2014","Urban"," # receiving essential sanitary items",11,"# receiving essential sanitary items"
"3754"," # receiving essential sanitary items","Mafraq",381717007,4095,637337121,"Zaatari Camp (all district)",20,"NRC","3. Essential sanitary items provided","NFI-1. Basic needs",23821,219,"Syrian Girls in Camp- # receiving essential sanitary items","2014-07",1064,"RRP6 - Performance Indicators","Individual","2014-07","North","Badiah Shamaliyah Gharbiyah","Al Khaldyah","Zaatari Camp",,"","Indirect appeal","UNHCR","Yes","Camp"," "," "," ","1. Basic needs","NFI","1711","MAFRAQ","1","North","","Girls","","","Girls","Camp    - ","01/07/2014","Camp"," # receiving essential sanitary items",11,"# receiving essential sanitary items"
"3755"," # receiving essential sanitary items","Mafraq",381717007,4095,637337121,"Zaatari Camp (all district)",20,"NRC","3. Essential sanitary items provided","NFI-1. Basic needs",23824,2337,"Syrian Men in Camp- # receiving essential sanitary items","2014-05",1064,"RRP6 - Performance Indicators","Individual","2014-05","North","Badiah Shamaliyah Gharbiyah","Al Khaldyah","Zaatari Camp",,"","Indirect appeal","UNHCR","Yes","Camp"," "," "," ","1. Basic needs","NFI","1711","MAFRAQ","1","North","Men","","","","Men","Camp    - ","01/05/2014","Camp"," # receiving essential sanitary items",11,"# receiving essential sanitary items"
"3756"," # receiving essential sanitary items","Ajlun",784088548,4095,652847580,"Ajlun Governorate",255,"ACTED","3. Essential sanitary items provided","NFI-1. Basic needs",23826,325,"Syrian Boys in Urban- # receiving essential sanitary items","2014-02",1064,"RRP6 - Performance Indicators","Individual","2014-02","North",,,,,"Improvement of access to essential WASH NFIs (including personal hygiene/dignity, household hygiene, WASH, and baby items) on a three-month replenishment basis of consumable items through a voucher-based system. 

Voucher values  have been  determined based on standards agreed by the WASH/NFI Working Group - household generally receive 5 vouchers to the value of 10JD each - larger Household may be eligible to more vouchers to meet their basic needs.  . The voucher-based system is intended to optimism efficiency of aid delivery, supporting rather than undermining local markets, and enabling prioritisation by beneficiaries of their own needs","Direct appeal","None","Yes"," "," "," ","Urban areas","1. Basic needs","NFI","1701","AJLOUN","1","North","","","","Boys","Boys","   Urban areas - ","01/02/2014","Camp"," # receiving essential sanitary items",11,"# receiving essential sanitary items"
"3757"," # receiving essential sanitary items","Irbid",865375059,4095,288028217,"Irbid Governorate",146,"LWF","3. Essential sanitary items provided","NFI-1. Basic needs",23827,618,"Syrian Women in Urban- # receiving essential sanitary items","2014-08",1064,"RRP6 - Performance Indicators","Individual","2014-08","North",,,,,"","Appeal outside of RRP6","None","Yes"," "," "," ","Urban areas","1. Basic needs","NFI","1707","IRBID","1","North","Men","","Women","","Women","   Urban areas - ","01/08/2014","Urban"," # receiving essential sanitary items",11,"# receiving essential sanitary items"
"3758"," # receiving essential sanitary items","Mafraq",381717007,4095,637337121,"Zaatari Camp (all district)",20,"NRC","3. Essential sanitary items provided","NFI-1. Basic needs",23824,3168,"Syrian Men in Camp- # receiving essential sanitary items","2014-04",1064,"RRP6 - Performance Indicators","Individual","2014-04","North","Badiah Shamaliyah Gharbiyah","Al Khaldyah","Zaatari Camp",,"","Indirect appeal","UNHCR","Yes","Camp"," "," "," ","1. Basic needs","NFI","1711","MAFRAQ","1","North","Men","","","","Men","Camp    - ","01/04/2014","Camp"," # receiving essential sanitary items",11,"# receiving essential sanitary items"
"3759"," # receiving essential sanitary items","Zarqa",414562337,4095,30880413,"Liwa al Hashimiyyah",436,"WVI","3. Essential sanitary items provided","NFI-1. Basic needs",23827,328,"Syrian Women in Urban- # receiving essential sanitary items","2014-05",1064,"RRP6 - Performance Indicators","Individual","2014-05","Central","Al-Hashimiya","Al-Hashimiya",,,"WVI distributed hygiene kits to 2191 beneficiaries in Hashemeya District. This project was funded by ECHO.","Appeal outside of RRP6","None","No"," "," "," ","Urban areas","1. Basic needs","NFI","1712","ZARQA","1","North","Men","","Women","","Women","   Urban areas - ","01/05/2014","Urban"," # receiving essential sanitary items",11,"# receiving essential sanitary items"
"3760"," # receiving essential sanitary items","Mafraq",381717007,4095,637337121,"Zaatari Camp (all district)",20,"NRC","3. Essential sanitary items provided","NFI-1. Basic needs",23823,2603,"Syrian Women in Camp- # receiving essential sanitary items","2014-01",1064,"RRP6 - Performance Indicators","Individual","2014-01","North","Badiah Shamaliyah Gharbiyah","Al Khaldyah","Zaatari Camp",,"","Indirect appeal","UNHCR","Yes","Camp"," "," "," ","1. Basic needs","NFI","1711","MAFRAQ","1","North","Men","","Women","","Women","Camp    - ","01/01/2014","Camp"," # receiving essential sanitary items",11,"# receiving essential sanitary items"
"3761"," # receiving essential sanitary items","Mafraq",381717007,4095,637337121,"Zaatari Camp (all district)",20,"NRC","3. Essential sanitary items provided","NFI-1. Basic needs",23821,858,"Syrian Girls in Camp- # receiving essential sanitary items","2015-01",1064,"RRP6 - Performance Indicators","Individual","2015-01","North","Badiah Shamaliyah Gharbiyah","Al Khaldyah","Zaatari Camp",,"","Indirect appeal","UNHCR","Yes","Camp"," "," "," ","1. Basic needs","NFI","1711","MAFRAQ","1","North","","Girls","","","Girls","Camp    - ","01/01/2015","Camp"," # receiving essential sanitary items",11,"# receiving essential sanitary items"
"3762"," # receiving essential sanitary items","Mafraq",706351907,4095,824351350,"Zaatari District 1",436,"WVI","3. Essential sanitary items provided","NFI-1. Basic needs",23821,3183,"Syrian Girls in Camp- # receiving essential sanitary items","2014-05",1064,"RRP6 - Performance Indicators","Individual","2014-05","North","Badiah Shamaliyah Gharbiyah","Al Khaldyah","Zaatari Camp","District 1","WVI is distributing a monthly ration of diapers for all children in Zataari Camp aged between 0-24 months. The distribution is on going for the months of February, March, May, June and July 2014. This project was funded by DEC.  ","Appeal outside of RRP6","None","No","Camp"," "," "," ","1. Basic needs","NFI","1711","MAFRAQ","1","North","","Girls","","","Girls","Camp    - ","01/05/2014","Camp"," # receiving essential sanitary items",11,"# receiving essential sanitary items"
"3763"," # receiving essential sanitary items","Jarash",1830874604,4095,591493909,"Liwa Qasabat Jarash",773,"ICMC","3. Essential sanitary items provided","NFI-1. Basic needs",23826,15,"Syrian Boys in Urban- # receiving essential sanitary items","2014-10",1064,"RRP6 - Performance Indicators","Individual","2014-10","North","Qasabat Jarash","Jarash",,,"ICMC provides baby hygiene packages to vulnerable Syrians and Jordanians. Each kit contains supplies for 4 months. ","Direct appeal","None","Yes"," "," "," ","Urban areas","1. Basic needs","NFI","1708","JARASH","1","North","","","","Boys","Boys","   Urban areas - ","01/10/2014","Camp"," # receiving essential sanitary items",11,"# receiving essential sanitary items"
"3764"," # receiving essential sanitary items","Ajlun",377585241,4095,1826722391,"Liwa Qasabat Ajlun",773,"ICMC","3. Essential sanitary items provided","NFI-1. Basic needs",23827,7,"Syrian Women in Urban- # receiving essential sanitary items","2014-10",1064,"RRP6 - Performance Indicators","Individual","2014-10","North","Qasabat  Ajloun","Ajloun",,,"ICMC provides baby hygiene packages to vulnerable Syrians and Jordanians. Each kit contains supplies for 4 months. ","Direct appeal","None","Yes"," "," "," ","Urban areas","1. Basic needs","NFI","1701","AJLOUN","1","North","Men","","Women","","Women","   Urban areas - ","01/10/2014","Urban"," # receiving essential sanitary items",11,"# receiving essential sanitary items"
"3765"," # receiving essential sanitary items","Mafraq",1302108554,4095,637337121,"Zaatari Camp (all district)",255,"ACTED","3. Essential sanitary items provided","NFI-1. Basic needs",23821,26300,"Syrian Girls in Camp- # receiving essential sanitary items","2014-03",1064,"RRP6 - Performance Indicators","Individual","2014-03","North","Badiah Shamaliyah Gharbiyah","Al Khaldyah","Zaatari Camp",,"WASH NFIs secured through umbrella of ACTED-UNICEF partnership in Jordan under which:
a.	100% of camp residents receive 250g soap on a monthly basis in targeted districts in Za’atari camp and in CC and KAP 
b.	100% of camp residents receive personal hygiene kits in targeted districts in Za’atari camp and in CC and KAP demonstrating appropriate usage. 
c.	75% of families in the camp report using soap for hand washing and bathing 
","Direct appeal","None","Yes","Camp"," "," "," ","1. Basic needs","NFI","1711","MAFRAQ","1","North","","Girls","","","Girls","Camp    - ","01/03/2014","Camp"," # receiving essential sanitary items",11,"# receiving essential sanitary items"
"3766"," # receiving essential sanitary items","Mafraq",1005738122,4095,1048500186,"Mafraq Governorate",255,"ACTED","3. Essential sanitary items provided","NFI-1. Basic needs",23825,873,"Syrian Girls in Urban- # receiving essential sanitary items","2014-02",1064,"RRP6 - Performance Indicators","Individual","2014-02","North",,,,,"Improvement of access to essential WASH NFIs (including personal hygiene/dignity, household hygiene, WASH, and baby items) on a three-month replenishment basis of consumable items through a voucher-based system. 

Items/voucher values will be determined based on standards agreed by the WASH/NFI Working Group. The voucher-based system is intended to optimise efficiency of aid delivery, supporting rather than undermining local markets, and enabling prioritisation by beneficiaries of their own needs.


Number of Hygiene kits distributed= number of WASH NFI vouchers given out. 
 
In October 126 WASH kits were given out to Syrian refugees living in informal settlements in Mafraq governerate. ","Direct appeal","None","Yes"," ","Informal Tented Settlement"," ","Urban areas","1. Basic needs","NFI","1711","MAFRAQ","1","North","","Girls","","","Girls"," Informal Tented Settlement Urban areas - ","01/02/2014","Urban"," # receiving essential sanitary items",11,"# receiving essential sanitary items"
"3767"," # receiving essential sanitary items","Mafraq",381717007,4095,637337121,"Zaatari Camp (all district)",20,"NRC","3. Essential sanitary items provided","NFI-1. Basic needs",23821,19759,"Syrian Girls in Camp- # receiving essential sanitary items","2014-02",1064,"RRP6 - Performance Indicators","Individual","2014-02","North","Badiah Shamaliyah Gharbiyah","Al Khaldyah","Zaatari Camp",,"","Indirect appeal","UNHCR","Yes","Camp"," "," "," ","1. Basic needs","NFI","1711","MAFRAQ","1","North","","Girls","","","Girls","Camp    - ","01/02/2014","Camp"," # receiving essential sanitary items",11,"# receiving essential sanitary items"
"3768"," # receiving essential sanitary items","Zarqa",171644950,4095,1413109440,"Zarqa Governorate",255,"ACTED","3. Essential sanitary items provided","NFI-1. Basic needs",23825,22,"Syrian Girls in Urban- # receiving essential sanitary items","2014-10",1064,"RRP6 - Performance Indicators","Individual","2014-10","Central",,,,,"Improvement of access to essential WASH NFIs (including personal hygiene/dignity, household hygiene, WASH, and baby items) on a three-month replenishment basis of consumable items through a voucher-based system. 

Voucher values have been determined based on standards agreed by the WASH/NFI Working Group - household generally receive 5 vouchers to the value of 10JD each - larger Household may be eligible to more vouchers to meet their basic needs. . The voucher-based system is intended to optimism efficiency of aid delivery, supporting rather than undermining local markets, and enabling prioritization by beneficiaries of their own needs

Number of Hygiene kits distributed= number of WASH NFI vouchers given out.","Direct appeal","None","Yes"," ","Informal Tented Settlement"," ","Urban areas","1. Basic needs","NFI","1712","ZARQA","1","North","","Girls","","","Girls"," Informal Tented Settlement Urban areas - ","01/10/2014","Urban"," # receiving essential sanitary items",11,"# receiving essential sanitary items"
"3769"," # receiving essential sanitary items","Irbid",121381562,4095,1800720415,"Irbid City",255,"ACTED","3. Essential sanitary items provided","NFI-1. Basic needs",23825,243,"Syrian Girls in Urban- # receiving essential sanitary items","2014-02",1064,"RRP6 - Performance Indicators","Individual","2014-02","North","Qasabat Irbid","Qasabat Irbid",,,"Improvement of access to essential WASH NFIs (including personal hygiene/dignity, household hygiene, WASH, and baby items) on a three-month replenishment basis of consumable items through a voucher-based system. 

Voucher values  have been  determined based on standards agreed by the WASH/NFI Working Group - household generally receive 5 vouchers each to the value of 10JD each - larger Household may be eligible to more vouchers to meet their basic needs.  . The voucher-based system is intended to optimism efficiency of aid delivery, supporting rather than undermining local markets, and enabling prioritization by beneficiaries of their own needs

Number of Hygiene kits distributed= number of WASH NFI vouchers given out. ","Direct appeal","None","Yes"," "," "," ","Urban areas","1. Basic needs","NFI","1707","IRBID","1","North","","Girls","","","Girls","   Urban areas - ","01/02/2014","Urban"," # receiving essential sanitary items",11,"# receiving essential sanitary items"
"3770"," # receiving essential sanitary items","Irbid",991874566,4095,1693518418,"Liwa ar Ramtha",255,"ACTED","3. Essential sanitary items provided","NFI-1. Basic needs",23827,13,"Syrian Women in Urban- # receiving essential sanitary items","2014-02",1064,"RRP6 - Performance Indicators","Individual","2014-02","North","Ar Ramtha","Ar Ramtha",,,"Improvement of access to essential WASH NFIs (including personal hygiene/dignity, household hygiene, WASH, and baby items) on a three-month replenishment basis of consumable items through a voucher-based system. 

Voucher values  have been  determined based on standards agreed by the WASH/NFI Working Group - household generally receive 5 vouchers each to the value of 10JD each - larger Household may be eligible to more vouchers to meet their basic needs.  . The voucher-based system is intended to optimism efficiency of aid delivery, supporting rather than undermining local markets, and enabling prioritization by beneficiaries of their own needs

Number of Hygiene kits distributed= number of WASH NFI vouchers given out. ","Direct appeal","None","Yes"," "," ","Other","Urban areas","1. Basic needs","NFI","1707","IRBID","1","North","Men","","Women","","Women","  OtherUrban areas - ","01/02/2014","Urban"," # receiving essential sanitary items",11,"# receiving essential sanitary items"
"3771"," # receiving essential sanitary items","Mafraq",381717007,4095,637337121,"Zaatari Camp (all district)",20,"NRC","3. Essential sanitary items provided","NFI-1. Basic needs",23821,3343,"Syrian Girls in Camp- # receiving essential sanitary items","2014-04",1064,"RRP6 - Performance Indicators","Individual","2014-04","North","Badiah Shamaliyah Gharbiyah","Al Khaldyah","Zaatari Camp",,"","Indirect appeal","UNHCR","Yes","Camp"," "," "," ","1. Basic needs","NFI","1711","MAFRAQ","1","North","","Girls","","","Girls","Camp    - ","01/04/2014","Camp"," # receiving essential sanitary items",11,"# receiving essential sanitary items"
"3772"," # receiving essential sanitary items","Al Balqa",94652691,4095,850741481,"Al Balqa Governorate",773,"ICMC","3. Essential sanitary items provided","NFI-1. Basic needs",23825,34,"Syrian Girls in Urban- # receiving essential sanitary items","2014-10",1064,"RRP6 - Performance Indicators","Individual","2014-10","Central",,,,,"Vulnerable Syrian and host community mothers are provided with a baby hygiene package including diapers and hygienic supplies for four months.","Direct appeal","None","Yes"," "," "," ","Urban areas","1. Basic needs","NFI","1702","BALQA","2","Center","","Girls","","","Girls","   Urban areas - ","01/10/2014","Urban"," # receiving essential sanitary items",11,"# receiving essential sanitary items"
"3773"," # receiving essential sanitary items","Zarqa",1722371748,4095,1421634138,"Azraq Camp",20,"NRC","3. Essential sanitary items provided","NFI-1. Basic needs",23824,1548,"Syrian Men in Camp- # receiving essential sanitary items","2014-06",1064,"RRP6 - Performance Indicators","Individual","2014-06","Central","Zarqa Qasabah","Al Azraq","Azraq",,"","Indirect appeal","UNHCR","Yes","Camp"," "," "," ","1. Basic needs","NFI","1712","ZARQA","1","North","Men","","","","Men","Camp    - ","01/06/2014","Camp"," # receiving essential sanitary items",11,"# receiving essential sanitary items"
"3774"," # receiving essential sanitary items","Mafraq",197393893,4095,1048500186,"Mafraq Governorate",146,"LWF","3. Essential sanitary items provided","NFI-1. Basic needs",23826,1049,"Syrian Boys in Urban- # receiving essential sanitary items","2014-09",1064,"RRP6 - Performance Indicators","Individual","2014-09","North",,,,,"","Appeal outside of RRP6","None","Yes"," "," "," ","Urban areas","1. Basic needs","NFI","1711","MAFRAQ","1","North","","","","Boys","Boys","   Urban areas - ","01/09/2014","Camp"," # receiving essential sanitary items",11,"# receiving essential sanitary items"
"3775"," # receiving essential sanitary items","Zarqa",171644950,4095,1413109440,"Zarqa Governorate",255,"ACTED","3. Essential sanitary items provided","NFI-1. Basic needs",23831,15,"Women - Other affected Population- # receiving essential sanitary items","2014-10",1064,"RRP6 - Performance Indicators","Individual","2014-10","Central",,,,,"Improvement of access to essential WASH NFIs (including personal hygiene/dignity, household hygiene, WASH, and baby items) on a three-month replenishment basis of consumable items through a voucher-based system. 

Voucher values have been determined based on standards agreed by the WASH/NFI Working Group - household generally receive 5 vouchers to the value of 10JD each - larger Household may be eligible to more vouchers to meet their basic needs. . The voucher-based system is intended to optimism efficiency of aid delivery, supporting rather than undermining local markets, and enabling prioritization by beneficiaries of their own needs

Number of Hygiene kits distributed= number of WASH NFI vouchers given out.","Direct appeal","None","Yes"," ","Informal Tented Settlement"," ","Urban areas","1. Basic needs","NFI","1712","ZARQA","1","North","Men","","Women","","Women"," Informal Tented Settlement Urban areas - ","01/10/2014","Urban"," # receiving essential sanitary items",11,"# receiving essential sanitary items"
