"","indic","Governorate","siteId","activityId","locationId","location","partnerId","Partner","activity","activityCategory","indicatorId","Value","indicatorName","month","database","indicatorCategory","Units","month.1","region.x","district","subdistrict","refugee.camps","camp.districts","comments","appeal","Fundedby","allocation","Camp","ITS","Other","Urban","Category","sector","gcode","gov","rcode","region","men","girl","women","boy","Gender","SiteType","StartDate","poptype","indic2","X","Indicator"
"11","  receiving school snacks in camp schools","Mafraq",1717718000,4065,637337121,"Zaatari Camp (all district)",365,"WFP","3. School Snacks","FOOD-1. Maintain Food Security",23635,5356,"Syrian Girls in Camps  receiving school snacks in camp schools","2014-01",1064,"RRP6 - Performance Indicators","Individual","2014-01","North","Badiah Shamaliyah Gharbiyah","Al Khaldyah","Zaatari Camp",,"Children that attended school and received a date bar in Za'atri camp. Implemented by Save the Children International.","Direct appeal","WFP","Yes","Camp"," "," "," ","1. Maintain Food Security","FOOD","1711","MAFRAQ","1","North","","Girls","","","Girls","Camp    - ","01/01/2014","Camp","  receiving school snacks in camp schools",2,"# receiving school snacks in camp schools"
"12","  receiving school snacks in camp schools","Zarqa",1137843097,4065,1421634138,"Azraq Camp",365,"WFP","3. School Snacks","FOOD-1. Maintain Food Security",23635,321,"Syrian Girls in Camps  receiving school snacks in camp schools","2014-08",1064,"RRP6 - Performance Indicators","Individual","2014-08","Central","Zarqa Qasabah","Al Azraq","Azraq",,"","Direct appeal","WFP","Yes","Camp"," "," "," ","1. Maintain Food Security","FOOD","1712","ZARQA","1","North","","Girls","","","Girls","Camp    - ","01/08/2014","Camp","  receiving school snacks in camp schools",2,"# receiving school snacks in camp schools"
"13","  receiving school snacks in camp schools","Zarqa",1137843097,4065,1421634138,"Azraq Camp",365,"WFP","3. School Snacks","FOOD-1. Maintain Food Security",23635,1214,"Syrian Girls in Camps  receiving school snacks in camp schools","2014-10",1064,"RRP6 - Performance Indicators","Individual","2014-10","Central","Zarqa Qasabah","Al Azraq","Azraq",,"","Direct appeal","WFP","Yes","Camp"," "," "," ","1. Maintain Food Security","FOOD","1712","ZARQA","1","North","","Girls","","","Girls","Camp    - ","01/10/2014","Camp","  receiving school snacks in camp schools",2,"# receiving school snacks in camp schools"
"14","  receiving school snacks in camp schools","Mafraq",1717718000,4065,637337121,"Zaatari Camp (all district)",365,"WFP","3. School Snacks","FOOD-1. Maintain Food Security",23635,6260,"Syrian Girls in Camps  receiving school snacks in camp schools","2014-04",1064,"RRP6 - Performance Indicators","Individual","2014-04","North","Badiah Shamaliyah Gharbiyah","Al Khaldyah","Zaatari Camp",,"Children that attended school and received a date bar in Za'atri camp. Implemented by Save the Children International.","Direct appeal","WFP","Yes","Camp"," "," "," ","1. Maintain Food Security","FOOD","1711","MAFRAQ","1","North","","Girls","","","Girls","Camp    - ","01/04/2014","Camp","  receiving school snacks in camp schools",2,"# receiving school snacks in camp schools"
"15","  receiving school snacks in camp schools","Zarqa",1137843097,4065,1421634138,"Azraq Camp",365,"WFP","3. School Snacks","FOOD-1. Maintain Food Security",23635,677,"Syrian Girls in Camps  receiving school snacks in camp schools","2014-09",1064,"RRP6 - Performance Indicators","Individual","2014-09","Central","Zarqa Qasabah","Al Azraq","Azraq",,"","Direct appeal","WFP","Yes","Camp"," "," "," ","1. Maintain Food Security","FOOD","1712","ZARQA","1","North","","Girls","","","Girls","Camp    - ","01/09/2014","Camp","  receiving school snacks in camp schools",2,"# receiving school snacks in camp schools"
"16","  receiving school snacks in camp schools","Mafraq",1717718000,4065,637337121,"Zaatari Camp (all district)",365,"WFP","3. School Snacks","FOOD-1. Maintain Food Security",23635,686,"Syrian Girls in Camps  receiving school snacks in camp schools","2014-07",1064,"RRP6 - Performance Indicators","Individual","2014-07","North","Badiah Shamaliyah Gharbiyah","Al Khaldyah","Zaatari Camp",,"Children that attended school and received a date bar in Za'atri camp. Implemented by Save the Children International.","Direct appeal","WFP","Yes","Camp"," "," "," ","1. Maintain Food Security","FOOD","1711","MAFRAQ","1","North","","Girls","","","Girls","Camp    - ","01/07/2014","Camp","  receiving school snacks in camp schools",2,"# receiving school snacks in camp schools"
"17","  receiving school snacks in camp schools","Mafraq",1717718000,4065,637337121,"Zaatari Camp (all district)",365,"WFP","3. School Snacks","FOOD-1. Maintain Food Security",23635,1194,"Syrian Girls in Camps  receiving school snacks in camp schools","2014-08",1064,"RRP6 - Performance Indicators","Individual","2014-08","North","Badiah Shamaliyah Gharbiyah","Al Khaldyah","Zaatari Camp",,"Children that attended school and received a date bar in Za'atri camp. Implemented by Save the Children International.","Direct appeal","WFP","Yes","Camp"," "," "," ","1. Maintain Food Security","FOOD","1711","MAFRAQ","1","North","","Girls","","","Girls","Camp    - ","01/08/2014","Camp","  receiving school snacks in camp schools",2,"# receiving school snacks in camp schools"
"18","  receiving school snacks in camp schools","Mafraq",1717718000,4065,637337121,"Zaatari Camp (all district)",365,"WFP","3. School Snacks","FOOD-1. Maintain Food Security",23635,5486,"Syrian Girls in Camps  receiving school snacks in camp schools","2014-06",1064,"RRP6 - Performance Indicators","Individual","2014-06","North","Badiah Shamaliyah Gharbiyah","Al Khaldyah","Zaatari Camp",,"Children that attended school and received a date bar in Za'atri camp. Implemented by Save the Children International.","Direct appeal","WFP","Yes","Camp"," "," "," ","1. Maintain Food Security","FOOD","1711","MAFRAQ","1","North","","Girls","","","Girls","Camp    - ","01/06/2014","Camp","  receiving school snacks in camp schools",2,"# receiving school snacks in camp schools"
"19","  receiving school snacks in camp schools","Mafraq",1717718000,4065,637337121,"Zaatari Camp (all district)",365,"WFP","3. School Snacks","FOOD-1. Maintain Food Security",23635,8503,"Syrian Girls in Camps  receiving school snacks in camp schools","2014-09",1064,"RRP6 - Performance Indicators","Individual","2014-09","North","Badiah Shamaliyah Gharbiyah","Al Khaldyah","Zaatari Camp",,"Children that attended school and received a date bar in Za'atri camp. Implemented by Save the Children International.","Direct appeal","WFP","Yes","Camp"," "," "," ","1. Maintain Food Security","FOOD","1711","MAFRAQ","1","North","","Girls","","","Girls","Camp    - ","01/09/2014","Camp","  receiving school snacks in camp schools",2,"# receiving school snacks in camp schools"
"6402"," receiving SuperCereal Plus","Mafraq",1490803232,4070,637337121,"Zaatari Camp (all district)",365,"WFP","1. Specialized Nutritious Foods (Targeted)","FOOD-3. Improve Nutritional Status",23661,31,"Syrian Women in Camp  receiving SuperCereal Plus","2014-06",1064,"RRP6 - Performance Indicators","Individual","2014-06","North","Badiah Shamaliyah Gharbiyah","Al Khaldyah","Zaatari Camp",,"Distribution of SuperCereal Plus to all Children under the age of two in addition to Children under the age of five and pregnant and lactating women diagnosed with moderate acute malnutrition. Implemented by Save the Children Jordan.","Direct appeal","WFP","Yes","Camp"," "," "," ","3. Improve Nutritional Status","FOOD","1711","MAFRAQ","1","North","Men","","Women","","Women","Camp    - ","01/06/2014","Camp"," receiving SuperCereal Plus",39,"# receiving SuperCereal Plus"
"6403"," receiving SuperCereal Plus","Mafraq",1490803232,4070,637337121,"Zaatari Camp (all district)",365,"WFP","1. Specialized Nutritious Foods (Targeted)","FOOD-3. Improve Nutritional Status",23661,45,"Syrian Women in Camp  receiving SuperCereal Plus","2014-08",1064,"RRP6 - Performance Indicators","Individual","2014-08","North","Badiah Shamaliyah Gharbiyah","Al Khaldyah","Zaatari Camp",,"Distribution of SuperCereal Plus to all Children under the age of two in addition to Children under the age of five and pregnant and lactating women diagnosed with moderate acute malnutrition. Implemented by Save the Children Jordan.","Direct appeal","WFP","Yes","Camp"," "," "," ","3. Improve Nutritional Status","FOOD","1711","MAFRAQ","1","North","Men","","Women","","Women","Camp    - ","01/08/2014","Camp"," receiving SuperCereal Plus",39,"# receiving SuperCereal Plus"
"6404"," receiving SuperCereal Plus","Mafraq",1490803232,4070,637337121,"Zaatari Camp (all district)",365,"WFP","1. Specialized Nutritious Foods (Targeted)","FOOD-3. Improve Nutritional Status",23661,29,"Syrian Women in Camp  receiving SuperCereal Plus","2014-02",1064,"RRP6 - Performance Indicators","Individual","2014-02","North","Badiah Shamaliyah Gharbiyah","Al Khaldyah","Zaatari Camp",,"Distribution of SuperCereal Plus to all Children under the age of two in addition to Children under the age of five and pregnant and lactating women diagnosed with moderate acute malnutrition. Implemented by Save the Children Jordan.","Direct appeal","WFP","Yes","Camp"," "," "," ","3. Improve Nutritional Status","FOOD","1711","MAFRAQ","1","North","Men","","Women","","Women","Camp    - ","01/02/2014","Camp"," receiving SuperCereal Plus",39,"# receiving SuperCereal Plus"
"6405"," receiving SuperCereal Plus","Mafraq",1490803232,4070,637337121,"Zaatari Camp (all district)",365,"WFP","1. Specialized Nutritious Foods (Targeted)","FOOD-3. Improve Nutritional Status",23661,42,"Syrian Women in Camp  receiving SuperCereal Plus","2014-05",1064,"RRP6 - Performance Indicators","Individual","2014-05","North","Badiah Shamaliyah Gharbiyah","Al Khaldyah","Zaatari Camp",,"Distribution of SuperCereal Plus to all Children under the age of two in addition to Children under the age of five and pregnant and lactating women diagnosed with moderate acute malnutrition. Implemented by Save the Children Jordan.","Direct appeal","WFP","Yes","Camp"," "," "," ","3. Improve Nutritional Status","FOOD","1711","MAFRAQ","1","North","Men","","Women","","Women","Camp    - ","01/05/2014","Camp"," receiving SuperCereal Plus",39,"# receiving SuperCereal Plus"
"6406"," receiving SuperCereal Plus","Mafraq",1490803232,4070,637337121,"Zaatari Camp (all district)",365,"WFP","1. Specialized Nutritious Foods (Targeted)","FOOD-3. Improve Nutritional Status",23661,21,"Syrian Women in Camp  receiving SuperCereal Plus","2014-07",1064,"RRP6 - Performance Indicators","Individual","2014-07","North","Badiah Shamaliyah Gharbiyah","Al Khaldyah","Zaatari Camp",,"Distribution of SuperCereal Plus to all Children under the age of two in addition to Children under the age of five and pregnant and lactating women diagnosed with moderate acute malnutrition. Implemented by Save the Children Jordan.","Direct appeal","WFP","Yes","Camp"," "," "," ","3. Improve Nutritional Status","FOOD","1711","MAFRAQ","1","North","Men","","Women","","Women","Camp    - ","01/07/2014","Camp"," receiving SuperCereal Plus",39,"# receiving SuperCereal Plus"
"6407"," receiving SuperCereal Plus","Amman",1749491803,4070,335621882,"Amman Governorate",365,"WFP","1. Specialized Nutritious Foods (Targeted)","FOOD-3. Improve Nutritional Status",23666,14,"Syrian Men in Urban receiving SuperCereal Plus","2014-06",1064,"RRP6 - Performance Indicators","Individual","2014-06","Central",,,,,"SuperCereal Plus to CU5 and PLW with MAM. Implemented by Medair.","Direct appeal","WFP","Yes"," "," ","Other","Urban areas","3. Improve Nutritional Status","FOOD","1705","AMMAN","2","Center","Men","","","","Men","  OtherUrban areas - ","01/06/2014","Urban"," receiving SuperCereal Plus",39,"# receiving SuperCereal Plus"
"6408"," receiving SuperCereal Plus","Mafraq",924200565,4070,637337121,"Zaatari Camp (all district)",1030,"SC Jordan","1. Specialized Nutritious Foods (Targeted)","FOOD-3. Improve Nutritional Status",23661,36,"Syrian Women in Camp  receiving SuperCereal Plus","2014-04",1064,"RRP6 - Performance Indicators","Individual","2014-04","North","Badiah Shamaliyah Gharbiyah","Al Khaldyah","Zaatari Camp",,"Distribution of SuperCereal Plus to all Children under the age of two in addition to Children under the age of five and pregnant and lactating women diagnosed with moderate acute malnutrition","Indirect appeal","WFP","Yes","Camp"," "," "," ","3. Improve Nutritional Status","FOOD","1711","MAFRAQ","1","North","Men","","Women","","Women","Camp    - ","01/04/2014","Camp"," receiving SuperCereal Plus",39,"# receiving SuperCereal Plus"
"6409"," receiving SuperCereal Plus","Mafraq",924200565,4070,637337121,"Zaatari Camp (all district)",1030,"SC Jordan","1. Specialized Nutritious Foods (Targeted)","FOOD-3. Improve Nutritional Status",23661,21,"Syrian Women in Camp  receiving SuperCereal Plus","2014-12",1064,"RRP6 - Performance Indicators","Individual","2014-12","North","Badiah Shamaliyah Gharbiyah","Al Khaldyah","Zaatari Camp",,"Distribution of SuperCereal Plus to all Children under the age of two in addition to Children under the age of five and pregnant and lactating women diagnosed with moderate acute malnutrition","Indirect appeal","WFP","Yes","Camp"," "," "," ","3. Improve Nutritional Status","FOOD","1711","MAFRAQ","1","North","Men","","Women","","Women","Camp    - ","01/12/2014","Camp"," receiving SuperCereal Plus",39,"# receiving SuperCereal Plus"
"6410"," receiving SuperCereal Plus","Mafraq",1490803232,4070,637337121,"Zaatari Camp (all district)",365,"WFP","1. Specialized Nutritious Foods (Targeted)","FOOD-3. Improve Nutritional Status",23661,28,"Syrian Women in Camp  receiving SuperCereal Plus","2014-03",1064,"RRP6 - Performance Indicators","Individual","2014-03","North","Badiah Shamaliyah Gharbiyah","Al Khaldyah","Zaatari Camp",,"Distribution of SuperCereal Plus to all Children under the age of two in addition to Children under the age of five and pregnant and lactating women diagnosed with moderate acute malnutrition. Implemented by Save the Children Jordan.","Direct appeal","WFP","Yes","Camp"," "," "," ","3. Improve Nutritional Status","FOOD","1711","MAFRAQ","1","North","Men","","Women","","Women","Camp    - ","01/03/2014","Camp"," receiving SuperCereal Plus",39,"# receiving SuperCereal Plus"
"13730","receiving SuperCereal Plus","Zarqa",2010559256,4070,1413109440,"Zarqa Governorate",365,"WFP","1. Specialized Nutritious Foods (Targeted)","FOOD-3. Improve Nutritional Status",23664,3,"Syrian Boys in Urban receiving SuperCereal Plus","2014-02",1064,"RRP6 - Performance Indicators","Individual","2014-02","Central",,,,,"SuperCereal Plus to CU5 and PLW with MAM. Implemented by Medair.","Direct appeal","WFP","Yes"," "," ","Other","Urban areas","3. Improve Nutritional Status","FOOD","1712","ZARQA","1","North","","","","Boys","Boys","  OtherUrban areas - ","01/02/2014","Camp","receiving SuperCereal Plus",95,"# receiving SuperCereal Plus"
"13731","receiving SuperCereal Plus","Zarqa",2010559256,4070,1413109440,"Zarqa Governorate",365,"WFP","1. Specialized Nutritious Foods (Targeted)","FOOD-3. Improve Nutritional Status",23665,4,"Syrian Women in Urban receiving SuperCereal Plus","2014-07",1064,"RRP6 - Performance Indicators","Individual","2014-07","Central",,,,,"SuperCereal Plus to CU5 and PLW with MAM. Implemented by Medair.","Direct appeal","WFP","Yes"," "," ","Other","Urban areas","3. Improve Nutritional Status","FOOD","1712","ZARQA","1","North","Men","","Women","","Women","  OtherUrban areas - ","01/07/2014","Urban","receiving SuperCereal Plus",95,"# receiving SuperCereal Plus"
"13732","receiving SuperCereal Plus","Irbid",1142326568,4070,288028217,"Irbid Governorate",365,"WFP","1. Specialized Nutritious Foods (Targeted)","FOOD-3. Improve Nutritional Status",23664,5,"Syrian Boys in Urban receiving SuperCereal Plus","2014-07",1064,"RRP6 - Performance Indicators","Individual","2014-07","North",,,,,"SuperCereal Plus to CU5 and PLW with MAM. Implemented by Medair. ","Direct appeal","WFP","Yes"," "," ","Other","Urban areas","3. Improve Nutritional Status","FOOD","1707","IRBID","1","North","","","","Boys","Boys","  OtherUrban areas - ","01/07/2014","Camp","receiving SuperCereal Plus",95,"# receiving SuperCereal Plus"
"13733","receiving SuperCereal Plus","Zarqa",2010559256,4070,1413109440,"Zarqa Governorate",365,"WFP","1. Specialized Nutritious Foods (Targeted)","FOOD-3. Improve Nutritional Status",23664,2,"Syrian Boys in Urban receiving SuperCereal Plus","2014-07",1064,"RRP6 - Performance Indicators","Individual","2014-07","Central",,,,,"SuperCereal Plus to CU5 and PLW with MAM. Implemented by Medair.","Direct appeal","WFP","Yes"," "," ","Other","Urban areas","3. Improve Nutritional Status","FOOD","1712","ZARQA","1","North","","","","Boys","Boys","  OtherUrban areas - ","01/07/2014","Camp","receiving SuperCereal Plus",95,"# receiving SuperCereal Plus"
"13734","receiving SuperCereal Plus","Karak",1664434242,4070,98986952,"Karak Governorate",365,"WFP","1. Specialized Nutritious Foods (Targeted)","FOOD-3. Improve Nutritional Status",23664,1,"Syrian Boys in Urban receiving SuperCereal Plus","2014-05",1064,"RRP6 - Performance Indicators","Individual","2014-05","South",,,,,"","Direct appeal","WFP","Yes","Camp"," ","Other","Urban areas","3. Improve Nutritional Status","FOOD","1704","KARAK","3","South","","","","Boys","Boys","Camp OtherUrban areas - ","01/05/2014","Camp","receiving SuperCereal Plus",95,"# receiving SuperCereal Plus"
"13735","receiving SuperCereal Plus","Tafileh",1134407610,4070,840670398,"Tafileh Governorate",365,"WFP","1. Specialized Nutritious Foods (Targeted)","FOOD-3. Improve Nutritional Status",23664,1,"Syrian Boys in Urban receiving SuperCereal Plus","2014-05",1064,"RRP6 - Performance Indicators","Individual","2014-05","South",,,,,"","Direct appeal","WFP","Yes","Camp"," "," ","Urban areas","3. Improve Nutritional Status","FOOD","1706","TAFILAH","3","South","","","","Boys","Boys","Camp  Urban areas - ","01/05/2014","Camp","receiving SuperCereal Plus",95,"# receiving SuperCereal Plus"
"13736","receiving SuperCereal Plus","Amman",1749491803,4070,335621882,"Amman Governorate",365,"WFP","1. Specialized Nutritious Foods (Targeted)","FOOD-3. Improve Nutritional Status",23664,2,"Syrian Boys in Urban receiving SuperCereal Plus","2014-01",1064,"RRP6 - Performance Indicators","Individual","2014-01","Central",,,,,"SuperCereal Plus to CU5 and PLW with MAM. Implemented by Medair.","Direct appeal","WFP","Yes"," "," ","Other","Urban areas","3. Improve Nutritional Status","FOOD","1705","AMMAN","2","Center","","","","Boys","Boys","  OtherUrban areas - ","01/01/2014","Camp","receiving SuperCereal Plus",95,"# receiving SuperCereal Plus"
"13737","receiving SuperCereal Plus","Mafraq",939271916,4070,1048500186,"Mafraq Governorate",365,"WFP","1. Specialized Nutritious Foods (Targeted)","FOOD-3. Improve Nutritional Status",23663,6,"Syrian Girls in Urban receiving SuperCereal Plus","2014-08",1064,"RRP6 - Performance Indicators","Individual","2014-08","North",,,,,"SuperCereal Plus to CU5 and PLW with MAM. Implemented by Medair.","Direct appeal","WFP","Yes"," "," ","Other","Urban areas","3. Improve Nutritional Status","FOOD","1711","MAFRAQ","1","North","","Girls","","","Girls","  OtherUrban areas - ","01/08/2014","Urban","receiving SuperCereal Plus",95,"# receiving SuperCereal Plus"
"13738","receiving SuperCereal Plus","Zarqa",2010559256,4070,1413109440,"Zarqa Governorate",365,"WFP","1. Specialized Nutritious Foods (Targeted)","FOOD-3. Improve Nutritional Status",23665,2,"Syrian Women in Urban receiving SuperCereal Plus","2014-08",1064,"RRP6 - Performance Indicators","Individual","2014-08","Central",,,,,"SuperCereal Plus to CU5 and PLW with MAM. Implemented by Medair.","Direct appeal","WFP","Yes"," "," ","Other","Urban areas","3. Improve Nutritional Status","FOOD","1712","ZARQA","1","North","Men","","Women","","Women","  OtherUrban areas - ","01/08/2014","Urban","receiving SuperCereal Plus",95,"# receiving SuperCereal Plus"
"13739","receiving SuperCereal Plus","Madaba",1383755768,4070,697180016,"Madaba Governorate",365,"WFP","1. Specialized Nutritious Foods (Targeted)","FOOD-3. Improve Nutritional Status",23659,2,"Syrian Girls in Camp receiving SuperCereal Plus","2014-07",1064,"RRP6 - Performance Indicators","Individual","2014-07","Central",,,,,"","Direct appeal","WFP","Yes"," "," "," ","Urban areas","3. Improve Nutritional Status","FOOD","1710","MADABA","2","Center","","Girls","","","Girls","   Urban areas - ","01/07/2014","Camp","receiving SuperCereal Plus",95,"# receiving SuperCereal Plus"
"13740","receiving SuperCereal Plus","Karak",1664434242,4070,98986952,"Karak Governorate",365,"WFP","1. Specialized Nutritious Foods (Targeted)","FOOD-3. Improve Nutritional Status",23665,1,"Syrian Women in Urban receiving SuperCereal Plus","2014-05",1064,"RRP6 - Performance Indicators","Individual","2014-05","South",,,,,"","Direct appeal","WFP","Yes","Camp"," ","Other","Urban areas","3. Improve Nutritional Status","FOOD","1704","KARAK","3","South","Men","","Women","","Women","Camp OtherUrban areas - ","01/05/2014","Urban","receiving SuperCereal Plus",95,"# receiving SuperCereal Plus"
"13741","receiving SuperCereal Plus","Amman",1749491803,4070,335621882,"Amman Governorate",365,"WFP","1. Specialized Nutritious Foods (Targeted)","FOOD-3. Improve Nutritional Status",23667,7,"Girls - Other affected Population receiving SuperCereal Plus","2014-08",1064,"RRP6 - Performance Indicators","Individual","2014-08","Central",,,,,"SuperCereal Plus to CU5 and PLW with MAM. Implemented by Medair.","Direct appeal","WFP","Yes"," "," ","Other","Urban areas","3. Improve Nutritional Status","FOOD","1705","AMMAN","2","Center","","Girls","","","Girls","  OtherUrban areas - ","01/08/2014","other Affected","receiving SuperCereal Plus",95,"# receiving SuperCereal Plus"
"13742","receiving SuperCereal Plus","Mafraq",363879843,4070,1048500186,"Mafraq Governorate",262,"MEDAIR","1. Specialized Nutritious Foods (Targeted)","FOOD-3. Improve Nutritional Status",23663,4,"Syrian Girls in Urban receiving SuperCereal Plus","2014-04",1064,"RRP6 - Performance Indicators","Individual","2014-04","North",,,,,"","Direct appeal","WFP","Yes"," "," "," ","Urban areas","3. Improve Nutritional Status","FOOD","1711","MAFRAQ","1","North","","Girls","","","Girls","   Urban areas - ","01/04/2014","Urban","receiving SuperCereal Plus",95,"# receiving SuperCereal Plus"
