"","Indicator","Units","Value","Partner","StartDate","appeal","Fundedby","allocation","activity","region","Sector","Governorate","Gender","poptype"
"107870","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"Intersos","01/06/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Men","Urban"
"107871","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"Intersos","01/04/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Women","Urban"
"107872","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"Intersos","01/02/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Girls","Urban"
"107873","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"Intersos","01/01/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Men","Urban"
"107874","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"Intersos","01/02/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Men","Urban"
"107875","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"Intersos","01/04/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Girls","Urban"
"107876","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"Intersos","01/01/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Women","Urban"
"107877","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"Intersos","01/04/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Men","Urban"
"107878","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"Intersos","01/02/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Women","Urban"
"107879","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"Intersos","01/03/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Girls","Urban"
"107880","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"Intersos","01/01/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Girls","Urban"
"107881","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"Intersos","01/05/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Girls","Urban"
"107882","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"Intersos","01/03/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Boys","Urban"
"107883","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"Intersos","01/02/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Boys","Urban"
"107884","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"Intersos","01/05/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Women","Urban"
"107885","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"Intersos","01/03/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Men","Urban"
"107886","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",77,"Intersos","01/05/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Women","Urban"
"107887","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"Intersos","01/01/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Women","Urban"
"107888","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",92,"Intersos","01/05/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Girls","Urban"
"107889","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"Intersos","01/01/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Boys","Urban"
"107890","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"Intersos","01/01/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Girls","Urban"
"107891","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",84,"Intersos","01/05/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Boys","Urban"
"107892","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"Intersos","01/01/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Men","Urban"
"107893","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"Intersos","01/04/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Girls","Urban"
"107894","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",67,"Intersos","01/05/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Men","Urban"
"107895","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"Intersos","01/04/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Women","Urban"
"107896","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"Intersos","01/04/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Boys","Urban"
"107897","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"Intersos","01/02/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Girls","Urban"
"107898","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"Intersos","01/02/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Women","Urban"
"107899","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"Intersos","01/04/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Men","Urban"
"107900","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"Intersos","01/02/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Boys","Urban"
"107901","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"Intersos","01/03/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Boys","Urban"
"107902","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"Intersos","01/03/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Girls","Urban"
"107903","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"Intersos","01/02/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Men","Urban"
"107904","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"Intersos","01/03/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Women","Urban"
"107905","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",235,"OXFAM","01/07/2016","Direct Implementation",(unknown),"Yes","[REF1.2.2]Household Water Improv.","Central","WASH","BALQA","Boys","Urban"
"107906","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",285,"OXFAM","01/07/2016","Direct Implementation",(unknown),"Yes","[REF1.2.2]Household Water Improv.","Central","WASH","BALQA","Girls","Urban"
"107907","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",310,"OXFAM","01/07/2016","Direct Implementation",(unknown),"Yes","[REF1.2.2]Household Water Improv.","Central","WASH","BALQA","Women","Urban"
"107908","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",294,"OXFAM","01/07/2016","Direct Implementation",(unknown),"Yes","[REF1.2.2]Household Water Improv.","Central","WASH","BALQA","Men","Urban"
"107909","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"Intersos","01/04/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Boys","Urban"
"107910","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"Intersos","01/02/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Women","Urban"
"107911","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"Intersos","01/05/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Men","Urban"
"107912","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"Intersos","01/03/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Women","Urban"
"107913","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"Intersos","01/05/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Boys","Urban"
"107914","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"Intersos","01/03/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Girls","Urban"
"107915","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"Intersos","01/05/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Girls","Urban"
"107916","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"Intersos","01/02/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Men","Urban"
"107917","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"Intersos","01/02/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Boys","Urban"
"107918","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"Intersos","01/01/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Women","Urban"
"107919","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"Intersos","01/01/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Men","Urban"
"107920","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"Intersos","01/02/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Girls","Urban"
"107921","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"Intersos","01/03/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Boys","Urban"
"107922","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"Intersos","01/04/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Girls","Urban"
"107923","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"Intersos","01/01/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Boys","Urban"
"107924","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"Intersos","01/01/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Girls","Urban"
"107925","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"Intersos","01/04/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Men","Urban"
"107926","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"Intersos","01/03/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Men","Urban"
"107927","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"Intersos","01/05/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Women","Urban"
"107928","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"Intersos","01/04/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","IRBID","Women","Urban"
"107929","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"Intersos","01/02/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","MAAN","Men","Urban"
"107930","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"Intersos","01/01/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","MAAN","Boys","Urban"
"107931","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"Intersos","01/03/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","MAAN","Men","Urban"
"107932","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"Intersos","01/01/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","MAAN","Women","Urban"
"107933","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"Intersos","01/02/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","MAAN","Boys","Urban"
"107934","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"Intersos","01/04/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","MAAN","Women","Urban"
"107935","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"Intersos","01/05/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","MAAN","Women","Urban"
"107936","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"Intersos","01/02/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","MAAN","Girls","Urban"
"107937","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"Intersos","01/01/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","MAAN","Men","Urban"
"107938","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"Intersos","01/05/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","MAAN","Girls","Urban"
"107939","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"Intersos","01/03/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","MAAN","Boys","Urban"
"107940","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"Intersos","01/05/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","MAAN","Men","Urban"
"107941","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"Intersos","01/03/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","MAAN","Girls","Urban"
"107942","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"Intersos","01/03/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","MAAN","Women","Urban"
"107943","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"Intersos","01/04/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","MAAN","Girls","Urban"
"107944","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"Intersos","01/02/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","MAAN","Women","Urban"
"107945","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"Intersos","01/01/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","MAAN","Girls","Urban"
"107946","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"Intersos","01/05/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","MAAN","Boys","Urban"
"107947","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"Intersos","01/04/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","MAAN","Boys","Urban"
"107948","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"Intersos","01/04/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","MAAN","Men","Urban"
"107949","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"ACTED","01/04/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","MAFRAQ","Men","Urban"
"107950","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",408,"ACTED","01/06/2017","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","MAFRAQ","Girls","Urban"
"107951","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",748,"ACTED","01/07/2017","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","MAFRAQ","Girls","Urban"
"107952","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",1066,"ACTED","01/05/2017","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","MAFRAQ","Men","Urban"
"107953","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"ACTED","01/02/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","MAFRAQ","Girls","Urban"
"107954","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",447,"ACTED","01/06/2017","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","MAFRAQ","Men","Urban"
"107955","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"ACTED","01/01/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","MAFRAQ","Boys","Urban"
"107956","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"ACTED","01/02/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","MAFRAQ","Boys","Urban"
"107957","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"ACTED","01/01/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","MAFRAQ","Men","Urban"
"107958","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"ACTED","01/04/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","MAFRAQ","Girls","Urban"
"107959","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"ACTED","01/02/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","MAFRAQ","Men","Urban"
"107960","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"ACTED","01/04/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","MAFRAQ","Boys","Urban"
"107961","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",516,"ACTED","01/05/2017","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","MAFRAQ","Girls","Urban"
"107962","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"ACTED","01/03/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","MAFRAQ","Men","Urban"
"107963","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",567,"ACTED","01/05/2017","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","MAFRAQ","Boys","Urban"
"107964","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"ACTED","01/02/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","MAFRAQ","Women","Urban"
"107965","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",481,"ACTED","01/06/2017","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","MAFRAQ","Boys","Urban"
"107966","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"ACTED","01/01/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","MAFRAQ","Girls","Urban"
"107967","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",865,"ACTED","01/07/2017","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","MAFRAQ","Boys","Urban"
"107968","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",516,"ACTED","01/05/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","MAFRAQ","Girls","Urban"
"107969","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"ACTED","01/04/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","MAFRAQ","Women","Urban"
"107970","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",610,"ACTED","01/07/2017","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","MAFRAQ","Men","Urban"
"107971","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",567,"ACTED","01/05/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","MAFRAQ","Boys","Urban"
"107972","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",1067,"ACTED","01/05/2017","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","MAFRAQ","Women","Urban"
"107973","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",505,"ACTED","01/06/2017","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","MAFRAQ","Women","Urban"
"107974","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",1066,"ACTED","01/05/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","MAFRAQ","Men","Urban"
"107975","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",714,"ACTED","01/07/2017","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","MAFRAQ","Women","Urban"
"107976","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"ACTED","01/01/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","MAFRAQ","Women","Urban"
"107977","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"ACTED","01/06/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","North","WASH","MAFRAQ","Girls","Urban"
