"","sector","StartDate","Category","activity","Indicator","Governorate","Gender","Partner","SiteType","appeal","Fundedby","allocation","rcode","gcode","Value","Units","location","region","poptype"
"6049","HEALTH","01/01/2015","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","IRBID","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","1","1707",11,"Individual","Liwa ar Ramtha","North","Urban"
"6050","HEALTH","01/01/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","IRBID","Men","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","1","1707",45,"Individual","Irbid Governorate","North","Urban"
"6051","HEALTH","01/10/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","IRBID","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","1","1707",17,"Individual","Irbid City","North","Urban"
"6052","HEALTH","01/06/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","AMMAN","Men","Caritas","   Urban areas - ","Indirect appeal","Caritas","Yes","2","1705",160,"Individual","Amman Governorate","Center","Urban"
"6053","HEALTH","01/01/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","AJLOUN","Men","Caritas","   Urban areas - ","Indirect appeal","Caritas","Yes","1","1701",2,"Individual","Ajlun Governorate","North","Urban"
"6054","HEALTH","01/03/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","MAAN","Men","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","3","1709",4,"Individual","Maan Governorate","South","Urban"
"6055","HEALTH","01/01/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","IRBID","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","1","1707",53,"Individual","Irbid City","North","Urban"
"6056","HEALTH","01/07/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","AJLOUN","Men","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","1","1701",1,"Individual","Ajlun Governorate","North","Urban"
"6057","HEALTH","01/09/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","IRBID","Men","JHAS","Camp    - ","Indirect appeal","UNHCR","Yes","1","1707",14,"Individual","Cyber City Refugee Center","North","Urban"
"6058","HEALTH","01/07/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","JARASH","Men","Caritas","   Urban areas - ","Indirect appeal","Caritas","Yes","1","1708",1,"Individual","Jarash Governorate","North","Urban"
"6059","HEALTH","01/08/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","IRBID","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","1","1707",11,"Individual","Irbid City","North","Urban"
"6060","HEALTH","01/06/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","MADABA","Men","Caritas","   Urban areas - ","Indirect appeal","Caritas","Yes","2","1710",3,"Individual","Madaba Governorate","Center","Urban"
"6061","HEALTH","01/01/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","JARASH","Men","Caritas","   Urban areas - ","Indirect appeal","Caritas","Yes","1","1708",1,"Individual","Jarash Governorate","North","Urban"
"6062","HEALTH","01/09/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","MAAN","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","3","1709",5,"Individual","Maan City","South","Urban"
"6063","HEALTH","01/07/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","KARAK","Men","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","3","1704",5,"Individual","Karak Governorate","South","Urban"
"6064","HEALTH","01/01/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","MAAN","Men","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","3","1709",3,"Individual","Maan Governorate","South","Urban"
"6065","HEALTH","01/01/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","BALQA","Men","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",60,"Individual","Al Balqa Governorate","Center","Urban"
"6066","HEALTH","01/11/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","ZARQA","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","1","1712",6,"Individual","Zarqa City","North","Urban"
"6067","HEALTH","01/03/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","ZARQA","Men","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","1","1712",124,"Individual","Zarqa Governorate","North","Urban"
"6068","HEALTH","01/03/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","AJLOUN","Men","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","1","1701",4,"Individual","Ajlun Governorate","North","Urban"
"6069","HEALTH","01/06/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","KARAK","Men","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","3","1704",23,"Individual","Karak Governorate","South","Urban"
"6070","HEALTH","01/12/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","MAFRAQ","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","1","1711",7,"Individual","Mafraq City","North","Urban"
"6071","HEALTH","01/10/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","ZARQA","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","1","1712",3,"Individual","Zarqa City","North","Urban"
"6072","HEALTH","01/12/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","AMMAN","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","2","1705",7,"Individual","Amman Governorate","Center","Urban"
"6073","HEALTH","01/07/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","IRBID","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","1","1707",15,"Individual","Irbid City","North","Urban"
"6074","HEALTH","01/12/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","KARAK","Men","Caritas","   Urban areas - ","Indirect appeal","Caritas","Yes","3","1704",8,"Individual","Karak Governorate","South","Urban"
"6075","HEALTH","01/05/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","AMMAN","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","2","1705",55,"Individual","Amman Governorate","Center","Urban"
"6076","HEALTH","01/01/2015","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","IRBID","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","1","1707",31,"Individual","Irbid City","North","Urban"
"6077","HEALTH","01/07/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","MADABA","Men","Caritas","   Urban areas - ","Indirect appeal","Caritas","Yes","2","1710",1,"Individual","Madaba Governorate","Center","Urban"
"6078","HEALTH","01/01/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","KARAK","Men","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","3","1704",9,"Individual","Karak Governorate","South","Urban"
"6079","HEALTH","01/08/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","MAFRAQ","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","1","1711",3,"Individual","Mafraq City","North","Urban"
"6080","HEALTH","01/02/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","AJLOUN","Men","Caritas","   Urban areas - ","Indirect appeal","Caritas","Yes","1","1701",2,"Individual","Ajlun Governorate","North","Urban"
"6081","HEALTH","01/03/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","MAFRAQ","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","1","1711",47,"Individual","Mafraq City","North","Urban"
"6082","HEALTH","01/02/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","BALQA","Men","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",71,"Individual","Al Balqa Governorate","Center","Urban"
"6083","HEALTH","01/12/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","IRBID","Men","MDM","   Urban areas - ","Indirect appeal","None","Yes","1","1707",15,"Individual","Liwa ar Ramtha","North","Urban"
"6084","HEALTH","01/03/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","MAAN","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","3","1709",23,"Individual","Maan City","South","Urban"
"6085","HEALTH","01/04/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","MAAN","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","3","1709",17,"Individual","Maan City","South","Urban"
"6086","HEALTH","01/03/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","IRBID","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","1","1707",15,"Individual","Liwa ar Ramtha","North","Urban"
"6087","HEALTH","01/08/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","IRBID","Men","JHAS","Camp    - ","Indirect appeal","UNHCR","Yes","1","1707",15,"Individual","Cyber City Refugee Center","North","Urban"
"6088","HEALTH","01/01/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","AMMAN","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","2","1705",170,"Individual","Amman Governorate","Center","Urban"
"6089","HEALTH","01/04/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","MADABA","Men","Caritas","   Urban areas - ","Indirect appeal","Caritas","Yes","2","1710",31,"Individual","Madaba Governorate","Center","Urban"
"6090","HEALTH","01/03/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","BALQA","Men","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",74,"Individual","Al Balqa Governorate","Center","Urban"
"6091","HEALTH","01/03/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","AMMAN","Men","Caritas","   Urban areas - ","Indirect appeal","Caritas","Yes","2","1705",2,"Individual","Amman Governorate","Center","Urban"
"6092","HEALTH","01/01/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","ZARQA","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","1","1712",75,"Individual","Zarqa City","North","Urban"
"6093","HEALTH","01/06/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","MAAN","Men","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","3","1709",29,"Individual","Maan Governorate","South","Urban"
"6094","HEALTH","01/10/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","AMMAN","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","2","1705",16,"Individual","Amman Governorate","Center","Urban"
"6095","HEALTH","01/02/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","MAFRAQ","Men","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","1","1711",36,"Individual","Mafraq Governorate","North","Urban"
"6096","HEALTH","01/04/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","IRBID","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","1","1707",89,"Individual","Irbid City","North","Urban"
"6097","HEALTH","01/01/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","MAAN","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","3","1709",22,"Individual","Maan City","South","Urban"
"6098","HEALTH","01/06/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","IRBID","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","1","1707",46,"Individual","Liwa ar Ramtha","North","Urban"
"6099","HEALTH","01/02/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","AMMAN","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","2","1705",44,"Individual","Amman Governorate","Center","Urban"
"6100","HEALTH","01/06/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","AJLOUN","Men","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","1","1701",2,"Individual","Ajlun Governorate","North","Urban"
"6101","HEALTH","01/06/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","IRBID","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","1","1707",46,"Individual","Irbid City","North","Urban"
"6102","HEALTH","01/07/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","IRBID","Men","JHAS","Camp    - ","Indirect appeal","UNHCR","Yes","1","1707",11,"Individual","Cyber City Refugee Center","North","Urban"
"6103","HEALTH","01/10/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","IRBID","Men","MDM","   Urban areas - ","Indirect appeal","None","Yes","1","1707",5,"Individual","Liwa ar Ramtha","North","Urban"
"6104","HEALTH","01/01/2015","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","AMMAN","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","2","1705",33,"Individual","Amman Governorate","Center","Urban"
"6105","HEALTH","01/12/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","IRBID","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","1","1707",16,"Individual","Irbid City","North","Urban"
"6106","HEALTH","01/01/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","IRBID","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","1","1707",78,"Individual","Liwa ar Ramtha","North","Urban"
"6107","HEALTH","01/03/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","JARASH","Men","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","1","1708",5,"Individual","Jarash Governorate","North","Urban"
"6108","HEALTH","01/03/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","MAFRAQ","Men","Caritas","   Urban areas - ","Indirect appeal","Caritas","Yes","1","1711",3,"Individual","Mafraq Governorate","North","Urban"
"6109","HEALTH","01/04/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","BALQA","Men","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",1,"Individual","Al Balqa Governorate","Center","Urban"
"6110","HEALTH","01/03/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","JARASH","Men","Caritas","   Urban areas - ","Indirect appeal","Caritas","Yes","1","1708",1,"Individual","Jarash Governorate","North","Urban"
"6111","HEALTH","01/01/2015","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","MAAN","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","3","1709",9,"Individual","Maan City","South","Urban"
"6112","HEALTH","01/05/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","MAFRAQ","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","1","1711",138,"Individual","Mafraq City","North","Urban"
"6113","HEALTH","01/10/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","MAFRAQ","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","1","1711",7,"Individual","Mafraq City","North","Urban"
"6114","HEALTH","01/11/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","IRBID","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","1","1707",20,"Individual","Irbid City","North","Urban"
"6115","HEALTH","01/09/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","IRBID","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","1","1707",21,"Individual","Irbid City","North","Urban"
"6116","HEALTH","01/06/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","BALQA","Men","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",2,"Individual","Al Balqa Governorate","Center","Urban"
"6117","HEALTH","01/10/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","IRBID","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","1","1707",6,"Individual","Liwa ar Ramtha","North","Urban"
"6118","HEALTH","01/02/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","MAFRAQ","Men","Caritas","   Urban areas - ","Indirect appeal","Caritas","Yes","1","1711",2,"Individual","Mafraq Governorate","North","Urban"
"6119","HEALTH","01/02/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","ZARQA","Men","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","1","1712",49,"Individual","Zarqa Governorate","North","Urban"
"6120","HEALTH","01/01/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","MAFRAQ","Men","Caritas","   Urban areas - ","Indirect appeal","Caritas","Yes","1","1711",1,"Individual","Mafraq Governorate","North","Urban"
"6121","HEALTH","01/06/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","MAFRAQ","Men","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","1","1711",2,"Individual","Mafraq Governorate","North","Urban"
"6122","HEALTH","01/09/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","MAFRAQ","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","1","1711",11,"Individual","Mafraq City","North","Urban"
"6123","HEALTH","01/06/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","MAFRAQ","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","1","1711",11,"Individual","Mafraq City","North","Urban"
"6124","HEALTH","01/05/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","IRBID","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","1","1707",93,"Individual","Irbid City","North","Urban"
"6125","HEALTH","01/04/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","IRBID","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","1","1707",61,"Individual","Liwa ar Ramtha","North","Urban"
"6126","HEALTH","01/04/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","ZARQA","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","1","1712",43,"Individual","Zarqa City","North","Urban"
"6127","HEALTH","01/02/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","MAFRAQ","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","1","1711",64,"Individual","Mafraq City","North","Urban"
"6128","HEALTH","01/04/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","KARAK","Men","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","3","1704",23,"Individual","Karak Governorate","South","Urban"
"6129","HEALTH","01/12/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","ZARQA","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","1","1712",8,"Individual","Zarqa City","North","Urban"
"6130","HEALTH","01/08/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","ZARQA","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","1","1712",8,"Individual","Zarqa City","North","Urban"
"6131","HEALTH","01/07/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","AMMAN","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","2","1705",7,"Individual","Amman Governorate","Center","Urban"
"6132","HEALTH","01/03/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","TAFILAH","Men","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","3","1706",6,"Individual","Tafileh Governorate","South","Urban"
"6133","HEALTH","01/02/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","IRBID","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","1","1707",17,"Individual","Liwa ar Ramtha","North","Urban"
"6134","HEALTH","01/07/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","IRBID","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","1","1707",7,"Individual","Liwa ar Ramtha","North","Urban"
"6135","HEALTH","01/03/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","AMMAN","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","2","1705",47,"Individual","Amman Governorate","Center","Urban"
"6136","HEALTH","01/03/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","KARAK","Men","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","3","1704",36,"Individual","Karak Governorate","South","Urban"
"6137","HEALTH","01/04/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","AMMAN","Men","Caritas","   Urban areas - ","Indirect appeal","Caritas","Yes","2","1705",253,"Individual","Amman Governorate","Center","Urban"
"6138","HEALTH","01/02/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","IRBID","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","1","1707",52,"Individual","Irbid City","North","Urban"
"6139","HEALTH","01/07/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","MAAN","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","3","1709",8,"Individual","Maan City","South","Urban"
"6140","HEALTH","01/04/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","JARASH","Men","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","1","1708",2,"Individual","Jarash Governorate","North","Urban"
"6141","HEALTH","01/02/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","JARASH","Men","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","1","1708",2,"Individual","Jarash Governorate","North","Urban"
"6142","HEALTH","01/03/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","AQABAH","Men","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","3","1703",3,"Individual","Aqaba Governorate","South","Urban"
"6143","HEALTH","01/04/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","MAFRAQ","Men","JHAS","   Urban areas - ","Indirect appeal","UNHCR","Yes","1","1711",101,"Individual","Mafraq City","North","Urban"
"6144","HEALTH","01/03/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","MAFRAQ","Men","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","1","1711",89,"Individual","Mafraq Governorate","North","Urban"
"6145","HEALTH","01/02/2014","2. Secondary Healthcare Access","1. Referral system for sec. & ter. care","# referred for secondary and tertiary level","IRBID","Men","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","1","1707",64,"Individual","Irbid Governorate","North","Urban"
