"","Governorate","siteId","activityId","locationId","location","partnerId","Partner","activity","activityCategory","indicatorId","Value","Indicator","month","database","indicatorCategory","Units","month.1","region.x","district","subdistrict","refugee.camps","camp.districts","comments","appeal","Fundedby","allocation","Camp","ITS","Other","Urban","Category","sector","gcode","gov","rcode","region","StartDate","men","women","boy","girl","Gender","SiteType"
"74","Ajlun",356208168,4051,652847580,"Ajlun Governorate",42,"JRS","2. Provision of regular cash assistance","CASH-1. Need Coverage",23484,2065,"Unconditional -Total Amount distributed this month in USD","2014-01",1064,"Unconditional Cash Assistance","JOD","2014-01","North",,,,,"","Direct appeal","None","Yes"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/01/2014","","","","","","   Urban areas - "
"83","Ajlun",973136664,4051,652847580,"Ajlun Governorate",574,"SCI","2. Provision of regular cash assistance","CASH-1. Need Coverage",23484,75,"Unconditional -Total Amount distributed this month in USD","2014-06",1064,"Unconditional Cash Assistance","JOD","2014-06","North",,,,,"ECHO NE","Direct appeal","None","No"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/06/2014","","","","","","   Urban areas - "
"84","Ajlun",973136664,4051,652847580,"Ajlun Governorate",574,"SCI","2. Provision of regular cash assistance","CASH-1. Need Coverage",23484,75,"Unconditional -Total Amount distributed this month in USD","2014-09",1064,"Unconditional Cash Assistance","JOD","2014-09","North",,,,,"ECHO NE","Direct appeal","None","No"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/09/2014","","","","","","   Urban areas - "
"92","Ajlun",973136664,4051,652847580,"Ajlun Governorate",574,"SCI","2. Provision of regular cash assistance","CASH-1. Need Coverage",23499,1,"Syrian Women in Urban - # of individuals assisted - Unconditional","2014-06",1064,"Unconditional Cash Assistance","Individual","2014-06","North",,,,,"ECHO NE","Direct appeal","None","No"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/06/2014","Men","Women","","","WomenMen","   Urban areas - "
"108","Ajlun",973136664,4051,652847580,"Ajlun Governorate",574,"SCI","2. Provision of regular cash assistance","CASH-1. Need Coverage",23495,1,"Syrian Girls in Urban - # of individuals assisted - Unconditional","2014-06",1064,"Unconditional Cash Assistance","Individual","2014-06","North",,,,,"ECHO NE","Direct appeal","None","No"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/06/2014","","","","Girls","Girls","   Urban areas - "
"118","Ajlun",973136664,4051,652847580,"Ajlun Governorate",574,"SCI","2. Provision of regular cash assistance","CASH-1. Need Coverage",23499,1,"Syrian Women in Urban - # of individuals assisted - Unconditional","2014-08",1064,"Unconditional Cash Assistance","Individual","2014-08","North",,,,,"ECHO NE","Direct appeal","None","No"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/08/2014","Men","Women","","","WomenMen","   Urban areas - "
"121","Ajlun",566233446,4051,243710366,"Liwa Qasabah Kufranjah",773,"ICMC","2. Provision of regular cash assistance","CASH-1. Need Coverage",23507,2,"Women - Other affected Population - # of individuals assisted - Unconditional","2014-12",1064,"Unconditional Cash Assistance","Individual","2014-12","North","Kufranja",,,,"Extremely vulnerable Syrian (70%) and Jordanian (30%) households are provided with monthly regular unconditional cash assistance during a period of 6 months. Amount to be provided according to household size.
","Direct appeal","None","Yes"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/12/2014","Men","Women","","","WomenMen","   Urban areas - "
"122","Ajlun",566233446,4051,243710366,"Liwa Qasabah Kufranjah",773,"ICMC","2. Provision of regular cash assistance","CASH-1. Need Coverage",23505,6,"Boys - Other affected Population - # of individuals assisted - Unconditional","2014-12",1064,"Unconditional Cash Assistance","Individual","2014-12","North","Kufranja",,,,"Extremely vulnerable Syrian (70%) and Jordanian (30%) households are provided with monthly regular unconditional cash assistance during a period of 6 months. Amount to be provided according to household size.
","Direct appeal","None","Yes"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/12/2014","","","Boys","","Boys","   Urban areas - "
"124","Ajlun",566233446,4051,243710366,"Liwa Qasabah Kufranjah",773,"ICMC","2. Provision of regular cash assistance","CASH-1. Need Coverage",23484,424,"Unconditional -Total Amount distributed this month in USD","2014-12",1064,"Unconditional Cash Assistance","JOD","2014-12","North","Kufranja",,,,"Extremely vulnerable Syrian (70%) and Jordanian (30%) households are provided with monthly regular unconditional cash assistance during a period of 6 months. Amount to be provided according to household size.
","Direct appeal","None","Yes"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/12/2014","","","","","","   Urban areas - "
"126","Ajlun",973136664,4051,652847580,"Ajlun Governorate",574,"SCI","2. Provision of regular cash assistance","CASH-1. Need Coverage",23497,1,"Syrian Boys in Urban - # of individuals assisted - Unconditional","2014-05",1064,"Unconditional Cash Assistance","Individual","2014-05","North",,,,,"ECHO NE","Direct appeal","None","No"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/05/2014","","","Boys","","Boys","   Urban areas - "
"128","Ajlun",356208168,4051,652847580,"Ajlun Governorate",42,"JRS","2. Provision of regular cash assistance","CASH-1. Need Coverage",23499,531,"Syrian Women in Urban - # of individuals assisted - Unconditional","2014-01",1064,"Unconditional Cash Assistance","Individual","2014-01","North",,,,,"","Direct appeal","None","Yes"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/01/2014","Men","Women","","","WomenMen","   Urban areas - "
"131","Ajlun",1960701067,4050,1826722391,"Liwa Qasabat Ajlun",255,"ACTED","1.Provision of urgent cash assistance","CASH-1. Need Coverage",23478,26,"Syrian Women in Urban","2014-03",1064,"RRP6 - Performance Indicators","Individual","2014-03","North","Qasabat  Ajloun","Ajloun",,,"Emergency one-off cash assistance of an average value of 130JOD most-vulnerable Syrian refugee and Jordanian households.

Cash assistance, vulnerability criteria, standards, and coverage has been coordinated with other members of the Cash Working Group. Amount given will be dependent on individual families' assessed need, for one-off emergency assistance for specific expenditure, staggered between a minimum and maximum amount.","Direct appeal","None","Yes"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/03/2014","Men","Women","","","WomenMen","   Urban areas - "
"136","Ajlun",566233446,4051,243710366,"Liwa Qasabah Kufranjah",773,"ICMC","2. Provision of regular cash assistance","CASH-1. Need Coverage",23484,424,"Unconditional -Total Amount distributed this month in USD","2014-11",1064,"Unconditional Cash Assistance","JOD","2014-11","North","Kufranja",,,,"Extremely vulnerable Syrian (70%) and Jordanian (30%) households are provided with monthly regular unconditional cash assistance during a period of 6 months. Amount to be provided according to household size.
","Direct appeal","None","Yes"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/11/2014","","","","","","   Urban areas - "
"140","Ajlun",973136664,4051,652847580,"Ajlun Governorate",574,"SCI","2. Provision of regular cash assistance","CASH-1. Need Coverage",23497,1,"Syrian Boys in Urban - # of individuals assisted - Unconditional","2014-06",1064,"Unconditional Cash Assistance","Individual","2014-06","North",,,,,"ECHO NE","Direct appeal","None","No"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/06/2014","","","Boys","","Boys","   Urban areas - "
"149","Ajlun",1521285325,4051,652847580,"Ajlun Governorate",574,"SCI","2. Provision of regular cash assistance","CASH-1. Need Coverage",23495,1,"Syrian Girls in Urban - # of individuals assisted - Unconditional","2014-12",1064,"Unconditional Cash Assistance","Individual","2014-12","North",,,,,"SC ITALY","Appeal outside of RRP6","None","No"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/12/2014","","","","Girls","Girls","   Urban areas - "
"150","Ajlun",1521285325,4051,652847580,"Ajlun Governorate",574,"SCI","2. Provision of regular cash assistance","CASH-1. Need Coverage",23495,1,"Syrian Girls in Urban - # of individuals assisted - Unconditional","2014-11",1064,"Unconditional Cash Assistance","Individual","2014-11","North",,,,,"SC ITALY","Appeal outside of RRP6","None","No"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/11/2014","","","","Girls","Girls","   Urban areas - "
"151","Ajlun",1521285325,4051,652847580,"Ajlun Governorate",574,"SCI","2. Provision of regular cash assistance","CASH-1. Need Coverage",23501,1,"Syrian Men in Urban - # of individuals assisted - Unconditional","2014-08",1064,"Unconditional Cash Assistance","Individual","2014-08","North",,,,,"SC ITALY","Appeal outside of RRP6","None","No"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/08/2014","Men","","","","Men","   Urban areas - "
"152","Ajlun",1521285325,4051,652847580,"Ajlun Governorate",574,"SCI","2. Provision of regular cash assistance","CASH-1. Need Coverage",23497,1,"Syrian Boys in Urban - # of individuals assisted - Unconditional","2014-11",1064,"Unconditional Cash Assistance","Individual","2014-11","North",,,,,"SC ITALY","Appeal outside of RRP6","None","No"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/11/2014","","","Boys","","Boys","   Urban areas - "
"159","Ajlun",973136664,4051,652847580,"Ajlun Governorate",574,"SCI","2. Provision of regular cash assistance","CASH-1. Need Coverage",23497,1,"Syrian Boys in Urban - # of individuals assisted - Unconditional","2014-08",1064,"Unconditional Cash Assistance","Individual","2014-08","North",,,,,"ECHO NE","Direct appeal","None","No"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/08/2014","","","Boys","","Boys","   Urban areas - "
"161","Ajlun",1326369830,4051,652847580,"Ajlun Governorate",1531,"IFRC/SRC ","2. Provision of regular cash assistance","CASH-1. Need Coverage",23499,146,"Syrian Women in Urban - # of individuals assisted - Unconditional","2014-01",1064,"Unconditional Cash Assistance","Individual","2014-01","North",,,,,"target: 115 families/575 individuals
periodicity: 3 months
level of assistance: 100JOD (50/100/120)","Appeal outside of RRP6","None","No"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/01/2014","Men","Women","","","WomenMen","   Urban areas - "
"162","Ajlun",1326369830,4051,652847580,"Ajlun Governorate",1531,"IFRC/SRC ","2. Provision of regular cash assistance","CASH-1. Need Coverage",23501,124,"Syrian Men in Urban - # of individuals assisted - Unconditional","2014-03",1064,"Unconditional Cash Assistance","Individual","2014-03","North",,,,,"target: 115 families/575 individuals
periodicity: 3 months
level of assistance: 100JOD (50/100/120)","Appeal outside of RRP6","None","No"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/03/2014","Men","","","","Men","   Urban areas - "
"163","Ajlun",1326369830,4051,652847580,"Ajlun Governorate",1531,"IFRC/SRC ","2. Provision of regular cash assistance","CASH-1. Need Coverage",23501,124,"Syrian Men in Urban - # of individuals assisted - Unconditional","2014-02",1064,"Unconditional Cash Assistance","Individual","2014-02","North",,,,,"target: 115 families/575 individuals
periodicity: 3 months
level of assistance: 100JOD (50/100/120)","Appeal outside of RRP6","None","No"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/02/2014","Men","","","","Men","   Urban areas - "
"164","Ajlun",1326369830,4051,652847580,"Ajlun Governorate",1531,"IFRC/SRC ","2. Provision of regular cash assistance","CASH-1. Need Coverage",23501,124,"Syrian Men in Urban - # of individuals assisted - Unconditional","2014-01",1064,"Unconditional Cash Assistance","Individual","2014-01","North",,,,,"target: 115 families/575 individuals
periodicity: 3 months
level of assistance: 100JOD (50/100/120)","Appeal outside of RRP6","None","No"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/01/2014","Men","","","","Men","   Urban areas - "
"165","Ajlun",566233446,4051,243710366,"Liwa Qasabah Kufranjah",773,"ICMC","2. Provision of regular cash assistance","CASH-1. Need Coverage",23503,1,"Girls - Other affected Population - # of individuals assisted - Unconditional","2014-09",1064,"Unconditional Cash Assistance","Individual","2014-09","North","Kufranja",,,,"Extremely vulnerable Syrian (70%) and Jordanian (30%) households are provided with monthly regular unconditional cash assistance during a period of 6 months. Amount to be provided according to household size.
","Direct appeal","None","Yes"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/09/2014","","","","Girls","Girls","   Urban areas - "
"208","Ajlun",356208168,4051,652847580,"Ajlun Governorate",42,"JRS","2. Provision of regular cash assistance","CASH-1. Need Coverage",23501,446,"Syrian Men in Urban - # of individuals assisted - Unconditional","2014-01",1064,"Unconditional Cash Assistance","Individual","2014-01","North",,,,,"","Direct appeal","None","Yes"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/01/2014","Men","","","","Men","   Urban areas - "
"211","Ajlun",356208168,4051,652847580,"Ajlun Governorate",42,"JRS","2. Provision of regular cash assistance","CASH-1. Need Coverage",23497,555,"Syrian Boys in Urban - # of individuals assisted - Unconditional","2014-01",1064,"Unconditional Cash Assistance","Individual","2014-01","North",,,,,"","Direct appeal","None","Yes"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/01/2014","","","Boys","","Boys","   Urban areas - "
"212","Ajlun",356208168,4051,652847580,"Ajlun Governorate",42,"JRS","2. Provision of regular cash assistance","CASH-1. Need Coverage",23495,535,"Syrian Girls in Urban - # of individuals assisted - Unconditional","2014-01",1064,"Unconditional Cash Assistance","Individual","2014-01","North",,,,,"","Direct appeal","None","Yes"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/01/2014","","","","Girls","Girls","   Urban areas - "
"217","Ajlun",1960701067,4050,1826722391,"Liwa Qasabat Ajlun",255,"ACTED","1.Provision of urgent cash assistance","CASH-1. Need Coverage",23483,22,"Men - Other affected Population","2014-02",1064,"RRP6 - Performance Indicators","Individual","2014-02","North","Qasabat  Ajloun","Ajloun",,,"Emergency one-off cash assistance of an average value of 130JOD most-vulnerable Syrian refugee and Jordanian households.

Cash assistance, vulnerability criteria, standards, and coverage has been coordinated with other members of the Cash Working Group. Amount given will be dependent on individual families' assessed need, for one-off emergency assistance for specific expenditure, staggered between a minimum and maximum amount.","Direct appeal","None","Yes"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/02/2014","Men","","","","Men","   Urban areas - "
"219","Ajlun",1960701067,4050,1826722391,"Liwa Qasabat Ajlun",255,"ACTED","1.Provision of urgent cash assistance","CASH-1. Need Coverage",23482,20,"Women - Other affected Population","2014-02",1064,"RRP6 - Performance Indicators","Individual","2014-02","North","Qasabat  Ajloun","Ajloun",,,"Emergency one-off cash assistance of an average value of 130JOD most-vulnerable Syrian refugee and Jordanian households.

Cash assistance, vulnerability criteria, standards, and coverage has been coordinated with other members of the Cash Working Group. Amount given will be dependent on individual families' assessed need, for one-off emergency assistance for specific expenditure, staggered between a minimum and maximum amount.","Direct appeal","None","Yes"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/02/2014","Men","Women","","","WomenMen","   Urban areas - "
"228","Ajlun",973136664,4051,652847580,"Ajlun Governorate",574,"SCI","2. Provision of regular cash assistance","CASH-1. Need Coverage",23501,1,"Syrian Men in Urban - # of individuals assisted - Unconditional","2014-06",1064,"Unconditional Cash Assistance","Individual","2014-06","North",,,,,"ECHO NE","Direct appeal","None","No"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/06/2014","Men","","","","Men","   Urban areas - "
"229","Ajlun",1521285325,4051,652847580,"Ajlun Governorate",574,"SCI","2. Provision of regular cash assistance","CASH-1. Need Coverage",23495,1,"Syrian Girls in Urban - # of individuals assisted - Unconditional","2014-09",1064,"Unconditional Cash Assistance","Individual","2014-09","North",,,,,"SC ITALY","Appeal outside of RRP6","None","No"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/09/2014","","","","Girls","Girls","   Urban areas - "
"230","Ajlun",566233446,4051,243710366,"Liwa Qasabah Kufranjah",773,"ICMC","2. Provision of regular cash assistance","CASH-1. Need Coverage",23507,1,"Women - Other affected Population - # of individuals assisted - Unconditional","2014-10",1064,"Unconditional Cash Assistance","Individual","2014-10","North","Kufranja",,,,"Extremely vulnerable Syrian (70%) and Jordanian (30%) households are provided with monthly regular unconditional cash assistance during a period of 6 months. Amount to be provided according to household size.
","Direct appeal","None","Yes"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/10/2014","Men","Women","","","WomenMen","   Urban areas - "
"231","Ajlun",566233446,4051,243710366,"Liwa Qasabah Kufranjah",773,"ICMC","2. Provision of regular cash assistance","CASH-1. Need Coverage",23507,1,"Women - Other affected Population - # of individuals assisted - Unconditional","2014-09",1064,"Unconditional Cash Assistance","Individual","2014-09","North","Kufranja",,,,"Extremely vulnerable Syrian (70%) and Jordanian (30%) households are provided with monthly regular unconditional cash assistance during a period of 6 months. Amount to be provided according to household size.
","Direct appeal","None","Yes"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/09/2014","Men","Women","","","WomenMen","   Urban areas - "
"232","Ajlun",566233446,4051,243710366,"Liwa Qasabah Kufranjah",773,"ICMC","2. Provision of regular cash assistance","CASH-1. Need Coverage",23509,2,"Men - Other affected Population - # of individuals assisted - Unconditional","2014-11",1064,"Unconditional Cash Assistance","Individual","2014-11","North","Kufranja",,,,"Extremely vulnerable Syrian (70%) and Jordanian (30%) households are provided with monthly regular unconditional cash assistance during a period of 6 months. Amount to be provided according to household size.
","Direct appeal","None","Yes"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/11/2014","Men","","","","Men","   Urban areas - "
"233","Ajlun",566233446,4051,243710366,"Liwa Qasabah Kufranjah",773,"ICMC","2. Provision of regular cash assistance","CASH-1. Need Coverage",23484,212,"Unconditional -Total Amount distributed this month in USD","2014-10",1064,"Unconditional Cash Assistance","JOD","2014-10","North","Kufranja",,,,"Extremely vulnerable Syrian (70%) and Jordanian (30%) households are provided with monthly regular unconditional cash assistance during a period of 6 months. Amount to be provided according to household size.
","Direct appeal","None","Yes"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/10/2014","","","","","","   Urban areas - "
"234","Ajlun",1521285325,4051,652847580,"Ajlun Governorate",574,"SCI","2. Provision of regular cash assistance","CASH-1. Need Coverage",23499,1,"Syrian Women in Urban - # of individuals assisted - Unconditional","2014-07",1064,"Unconditional Cash Assistance","Individual","2014-07","North",,,,,"SC ITALY","Appeal outside of RRP6","None","No"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/07/2014","Men","Women","","","WomenMen","   Urban areas - "
"235","Ajlun",1521285325,4051,652847580,"Ajlun Governorate",574,"SCI","2. Provision of regular cash assistance","CASH-1. Need Coverage",23499,1,"Syrian Women in Urban - # of individuals assisted - Unconditional","2014-09",1064,"Unconditional Cash Assistance","Individual","2014-09","North",,,,,"SC ITALY","Appeal outside of RRP6","None","No"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/09/2014","Men","Women","","","WomenMen","   Urban areas - "
"236","Ajlun",1521285325,4051,652847580,"Ajlun Governorate",574,"SCI","2. Provision of regular cash assistance","CASH-1. Need Coverage",23484,75,"Unconditional -Total Amount distributed this month in USD","2014-09",1064,"Unconditional Cash Assistance","JOD","2014-09","North",,,,,"SC ITALY","Appeal outside of RRP6","None","No"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/09/2014","","","","","","   Urban areas - "
"237","Ajlun",1521285325,4051,652847580,"Ajlun Governorate",574,"SCI","2. Provision of regular cash assistance","CASH-1. Need Coverage",23501,1,"Syrian Men in Urban - # of individuals assisted - Unconditional","2014-09",1064,"Unconditional Cash Assistance","Individual","2014-09","North",,,,,"SC ITALY","Appeal outside of RRP6","None","No"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/09/2014","Men","","","","Men","   Urban areas - "
"241","Ajlun",1521285325,4051,652847580,"Ajlun Governorate",574,"SCI","2. Provision of regular cash assistance","CASH-1. Need Coverage",23497,1,"Syrian Boys in Urban - # of individuals assisted - Unconditional","2014-07",1064,"Unconditional Cash Assistance","Individual","2014-07","North",,,,,"SC ITALY","Appeal outside of RRP6","None","No"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/07/2014","","","Boys","","Boys","   Urban areas - "
"260","Ajlun",1960701067,4050,1826722391,"Liwa Qasabat Ajlun",255,"ACTED","1.Provision of urgent cash assistance","CASH-1. Need Coverage",23476,44,"Syrian Girls in Urban","2014-03",1064,"RRP6 - Performance Indicators","Individual","2014-03","North","Qasabat  Ajloun","Ajloun",,,"Emergency one-off cash assistance of an average value of 130JOD most-vulnerable Syrian refugee and Jordanian households.

Cash assistance, vulnerability criteria, standards, and coverage has been coordinated with other members of the Cash Working Group. Amount given will be dependent on individual families' assessed need, for one-off emergency assistance for specific expenditure, staggered between a minimum and maximum amount.","Direct appeal","None","Yes"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/03/2014","","","","Girls","Girls","   Urban areas - "
"313","Ajlun",1158425515,4051,652847580,"Ajlun Governorate",574,"SCI","2. Provision of regular cash assistance","CASH-1. Need Coverage",23484,2400,"Unconditional -Total Amount distributed this month in USD","2014-03",1064,"Unconditional Cash Assistance","JOD","2014-03","North",,,,,"ECH","Direct appeal","None","Yes"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/03/2014","","","","","","   Urban areas - "
"314","Ajlun",1158425515,4051,652847580,"Ajlun Governorate",574,"SCI","2. Provision of regular cash assistance","CASH-1. Need Coverage",23497,62,"Syrian Boys in Urban - # of individuals assisted - Unconditional","2014-03",1064,"Unconditional Cash Assistance","Individual","2014-03","North",,,,,"ECH","Direct appeal","None","Yes"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/03/2014","","","Boys","","Boys","   Urban areas - "
"315","Ajlun",1158425515,4051,652847580,"Ajlun Governorate",574,"SCI","2. Provision of regular cash assistance","CASH-1. Need Coverage",23501,55,"Syrian Men in Urban - # of individuals assisted - Unconditional","2014-03",1064,"Unconditional Cash Assistance","Individual","2014-03","North",,,,,"ECH","Direct appeal","None","Yes"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/03/2014","Men","","","","Men","   Urban areas - "
"316","Ajlun",1158425515,4051,652847580,"Ajlun Governorate",574,"SCI","2. Provision of regular cash assistance","CASH-1. Need Coverage",23495,65,"Syrian Girls in Urban - # of individuals assisted - Unconditional","2014-03",1064,"Unconditional Cash Assistance","Individual","2014-03","North",,,,,"ECH","Direct appeal","None","Yes"," "," "," ","Urban areas","1. Need Coverage","CASH","1701","AJLOUN","1","North","01/03/2014","","","","Girls","Girls","   Urban areas - "
