"","Governorate","siteId","activityId","locationId","location","partnerId","Partner","activity","activityCategory","indicatorId","Value","Indicator","month","database","indicatorCategory","Units","month.1","region.x","district","subdistrict","refugee.camps","camp.districts","comments","appeal","Fundedby","allocation","Camp","ITS","Other","Urban","Category","sector","gcode","gov","rcode","region","StartDate","men","women","boy","girl","Gender","SiteType"
"115","Ajlun",1214345097,4055,1826722391,"Liwa Qasabat Ajlun",754,"ICCS","2. Benefit  informal/non-formal/lifeskills","EDUCATION-1. Access to appropriate opportunities",23566,5,"Syrian Girls in Urban benefiting from alternative education service such as non-formal education","2014-08",1064,"Alternative education","Individual","2014-08","North","Qasabat  Ajloun","Ajloun",,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/08/2014","","","","Girls","Girls","   Urban areas - "
"116","Ajlun",1214345097,4055,1826722391,"Liwa Qasabat Ajlun",754,"ICCS","2. Benefit  informal/non-formal/lifeskills","EDUCATION-1. Access to appropriate opportunities",23563,27,"Syrian Boys in Urban benefiting from alternative education service such as informal education and life skills","2014-11",1064,"Informal education and life skills","Individual","2014-11","North","Qasabat  Ajloun","Ajloun",,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/11/2014","","","Boys","","Boys","   Urban areas - "
"127","Ajlun",351903639,4054,652847580,"Ajlun Governorate",1030,"SC Jordan","1. Benefit from formal educ (prim & sec)","EDUCATION-1. Access to appropriate opportunities",23551,5,"Syrian Boys in Urban - # provided with information relevant for education and assisted with referral services","2014-11",1064,"Referral services","Individual","2014-11","North",,,,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/11/2014","","","Boys","","Boys","   Urban areas - "
"129","Ajlun",351903639,4054,652847580,"Ajlun Governorate",1030,"SC Jordan","1. Benefit from formal educ (prim & sec)","EDUCATION-1. Access to appropriate opportunities",23550,223,"Syrian Girls in Urban - # provided with information relevant for education and assisted with referral services","2014-03",1064,"Referral services","Individual","2014-03","North",,,,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/03/2014","","","","Girls","Girls","   Urban areas - "
"134","Ajlun",351903639,4054,652847580,"Ajlun Governorate",1030,"SC Jordan","1. Benefit from formal educ (prim & sec)","EDUCATION-1. Access to appropriate opportunities",23552,203,"Syrian Women in Urban - # provided with information relevant for education and assisted with referral services","2014-04",1064,"Referral services","Individual","2014-04","North",,,,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/04/2014","Men","Women","","","WomenMen","   Urban areas - "
"135","Ajlun",351903639,4054,652847580,"Ajlun Governorate",1030,"SC Jordan","1. Benefit from formal educ (prim & sec)","EDUCATION-1. Access to appropriate opportunities",23550,4,"Syrian Girls in Urban - # provided with information relevant for education and assisted with referral services","2014-11",1064,"Referral services","Individual","2014-11","North",,,,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/11/2014","","","","Girls","Girls","   Urban areas - "
"137","Ajlun",351903639,4054,652847580,"Ajlun Governorate",1030,"SC Jordan","1. Benefit from formal educ (prim & sec)","EDUCATION-1. Access to appropriate opportunities",23553,342,"Syrian Men in Urban - # provided with information relevant for education and assisted with referral services","2014-02",1064,"Referral services","Individual","2014-02","North",,,,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/02/2014","Men","","","","Men","   Urban areas - "
"143","Ajlun",1404041503,4054,1826722391,"Liwa Qasabat Ajlun",754,"ICCS","1. Benefit from formal educ (prim & sec)","EDUCATION-1. Access to appropriate opportunities",23545,15,"Boys - Other affected Population- # who attend remedial and catch-up classes","2014-07",1064,"Remedial  classes","Individual","2014-07","North","Qasabat  Ajloun","Ajloun",,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/07/2014","","","Boys","","Boys","   Urban areas - "
"153","Ajlun",351903639,4054,652847580,"Ajlun Governorate",1030,"SC Jordan","1. Benefit from formal educ (prim & sec)","EDUCATION-1. Access to appropriate opportunities",23553,4,"Syrian Men in Urban - # provided with information relevant for education and assisted with referral services","2014-11",1064,"Referral services","Individual","2014-11","North",,,,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/11/2014","Men","","","","Men","   Urban areas - "
"156","Ajlun",351903639,4054,652847580,"Ajlun Governorate",1030,"SC Jordan","1. Benefit from formal educ (prim & sec)","EDUCATION-1. Access to appropriate opportunities",23551,276,"Syrian Boys in Urban - # provided with information relevant for education and assisted with referral services","2014-02",1064,"Referral services","Individual","2014-02","North",,,,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/02/2014","","","Boys","","Boys","   Urban areas - "
"157","Ajlun",351903639,4054,652847580,"Ajlun Governorate",1030,"SC Jordan","1. Benefit from formal educ (prim & sec)","EDUCATION-1. Access to appropriate opportunities",23552,16,"Syrian Women in Urban - # provided with information relevant for education and assisted with referral services","2014-12",1064,"Referral services","Individual","2014-12","North",,,,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/12/2014","Men","Women","","","WomenMen","   Urban areas - "
"158","Ajlun",351903639,4054,652847580,"Ajlun Governorate",1030,"SC Jordan","1. Benefit from formal educ (prim & sec)","EDUCATION-1. Access to appropriate opportunities",23553,57,"Syrian Men in Urban - # provided with information relevant for education and assisted with referral services","2014-05",1064,"Referral services","Individual","2014-05","North",,,,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/05/2014","Men","","","","Men","   Urban areas - "
"160","Ajlun",1214345097,4055,1826722391,"Liwa Qasabat Ajlun",754,"ICCS","2. Benefit  informal/non-formal/lifeskills","EDUCATION-1. Access to appropriate opportunities",23564,50,"Syrian Boys in Urban benefiting from alternative education service such as non-formal education","2014-09",1064,"Alternative education","Individual","2014-09","North","Qasabat  Ajloun","Ajloun",,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/09/2014","","","Boys","","Boys","   Urban areas - "
"172","Ajlun",351903639,4054,652847580,"Ajlun Governorate",1030,"SC Jordan","1. Benefit from formal educ (prim & sec)","EDUCATION-1. Access to appropriate opportunities",23551,15,"Syrian Boys in Urban - # provided with information relevant for education and assisted with referral services","2014-06",1064,"Referral services","Individual","2014-06","North",,,,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/06/2014","","","Boys","","Boys","   Urban areas - "
"213","Ajlun",351903639,4054,652847580,"Ajlun Governorate",1030,"SC Jordan","1. Benefit from formal educ (prim & sec)","EDUCATION-1. Access to appropriate opportunities",23550,284,"Syrian Girls in Urban - # provided with information relevant for education and assisted with referral services","2014-02",1064,"Referral services","Individual","2014-02","North",,,,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/02/2014","","","","Girls","Girls","   Urban areas - "
"238","Ajlun",1214345097,4055,1826722391,"Liwa Qasabat Ajlun",754,"ICCS","2. Benefit  informal/non-formal/lifeskills","EDUCATION-1. Access to appropriate opportunities",23563,10,"Syrian Boys in Urban benefiting from alternative education service such as informal education and life skills","2014-10",1064,"Informal education and life skills","Individual","2014-10","North","Qasabat  Ajloun","Ajloun",,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/10/2014","","","Boys","","Boys","   Urban areas - "
"239","Ajlun",1214345097,4055,1826722391,"Liwa Qasabat Ajlun",754,"ICCS","2. Benefit  informal/non-formal/lifeskills","EDUCATION-1. Access to appropriate opportunities",23562,23,"Syrian Boys in Camp benefiting from alternative education service such as non-formal education","2014-08",1064,"Alternative education","Individual","2014-08","North","Qasabat  Ajloun","Ajloun",,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/08/2014","","","Boys","","Boys","   Urban areas - "
"240","Ajlun",1214345097,4055,1826722391,"Liwa Qasabat Ajlun",754,"ICCS","2. Benefit  informal/non-formal/lifeskills","EDUCATION-1. Access to appropriate opportunities",23563,24,"Syrian Boys in Urban benefiting from alternative education service such as informal education and life skills","2014-12",1064,"Informal education and life skills","Individual","2014-12","North","Qasabat  Ajloun","Ajloun",,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/12/2014","","","Boys","","Boys","   Urban areas - "
"244","Ajlun",1214345097,4055,1826722391,"Liwa Qasabat Ajlun",754,"ICCS","2. Benefit  informal/non-formal/lifeskills","EDUCATION-1. Access to appropriate opportunities",23569,19,"Girls - Other affected Population benefiting from alternative education service such as informal education and life skills","2014-12",1064,"Informal education and life skills","Individual","2014-12","North","Qasabat  Ajloun","Ajloun",,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/12/2014","","","","Girls","Girls","   Urban areas - "
"247","Ajlun",1404041503,4054,1826722391,"Liwa Qasabat Ajlun",754,"ICCS","1. Benefit from formal educ (prim & sec)","EDUCATION-1. Access to appropriate opportunities",23542,140,"Syrian Girls in Urban- # who attend remedial and catch-up classes","2014-08",1064,"Remedial  classes","Individual","2014-08","North","Qasabat  Ajloun","Ajloun",,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/08/2014","","","","Girls","Girls","   Urban areas - "
"258","Ajlun",351903639,4054,652847580,"Ajlun Governorate",1030,"SC Jordan","1. Benefit from formal educ (prim & sec)","EDUCATION-1. Access to appropriate opportunities",23551,10,"Syrian Boys in Urban - # provided with information relevant for education and assisted with referral services","2014-12",1064,"Referral services","Individual","2014-12","North",,,,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/12/2014","","","Boys","","Boys","   Urban areas - "
"268","Ajlun",351903639,4054,652847580,"Ajlun Governorate",1030,"SC Jordan","1. Benefit from formal educ (prim & sec)","EDUCATION-1. Access to appropriate opportunities",23552,1650,"Syrian Women in Urban - # provided with information relevant for education and assisted with referral services","2014-10",1064,"Referral services","Individual","2014-10","North",,,,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/10/2014","Men","Women","","","WomenMen","   Urban areas - "
"274","Ajlun",351903639,4054,652847580,"Ajlun Governorate",1030,"SC Jordan","1. Benefit from formal educ (prim & sec)","EDUCATION-1. Access to appropriate opportunities",23550,50,"Syrian Girls in Urban - # provided with information relevant for education and assisted with referral services","2014-05",1064,"Referral services","Individual","2014-05","North",,,,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/05/2014","","","","Girls","Girls","   Urban areas - "
"275","Ajlun",351903639,4054,652847580,"Ajlun Governorate",1030,"SC Jordan","1. Benefit from formal educ (prim & sec)","EDUCATION-1. Access to appropriate opportunities",23550,229,"Syrian Girls in Urban - # provided with information relevant for education and assisted with referral services","2014-04",1064,"Referral services","Individual","2014-04","North",,,,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/04/2014","","","","Girls","Girls","   Urban areas - "
"276","Ajlun",1090030519,4060,652847580,"Ajlun Governorate",727,"IRD","2. Training of education service providers","EDUCATION-2. Learning environment",23612,21,"# of in-service teachers and other education service providers trained during the month","2014-04",1064,"RRP6 - Performance Indicators","#","2014-04","North",,,,,"IRD's CISLE (Cultivating Inclusive and Supportive Learning Environments) program provides training of public school teachers to promote strong literacy and language arts instruction, utilization of participatory approach to education, ownership and sense of responsibility for effective education of all students (including new Syrian students), and innovative and sustainable use of school resources and facilities.

Ajlun: Anjara Elementary School","Appeal outside of RRP6","None","Yes"," ","Informal Tented Settlement","Other","Urban areas","2. Learning environment","EDUCATION","1701","AJLOUN","1","North","01/04/2014","","","","",""," Informal Tented SettlementOtherUrban areas - "
"302","Ajlun",493495349,4059,652847580,"Ajlun Governorate",727,"IRD","1. Psychosocial & resilience in pub. schools","EDUCATION-2. Learning environment",23607,4,"Syrian Boys in Urban benefiting from psychosocial development course in public school setting including extra-curriculum activities, recreation activities ans sports.","2014-04",1064,"RRP6 - Performance Indicators","Individual","2014-04","North",,,,,"Activities arranged through Sakhra Elementary School for Boys, involving students, parents, teachers, and community members. Only students will be recorded under this indicator. 

These activities are implemented through IRD's CISLE (Cultivating Inclusive and Supportive Learning Environments) program, which is funded by USAID.","Appeal outside of RRP6","None","Yes"," ","Informal Tented Settlement","Other","Urban areas","2. Learning environment","EDUCATION","1701","AJLOUN","1","North","01/04/2014","Men","","Boys","","BoysMen"," Informal Tented SettlementOtherUrban areas - "
"303","Ajlun",493495349,4059,652847580,"Ajlun Governorate",727,"IRD","1. Psychosocial & resilience in pub. schools","EDUCATION-2. Learning environment",23609,10,"Boys - Other affected Population benefiting from psychosocial development course in public school setting including extra-curriculum activities, recreation activities ans sports.","2014-04",1064,"RRP6 - Performance Indicators","Individual","2014-04","North",,,,,"Activities arranged through Sakhra Elementary School for Boys, involving students, parents, teachers, and community members. Only students will be recorded under this indicator. 

These activities are implemented through IRD's CISLE (Cultivating Inclusive and Supportive Learning Environments) program, which is funded by USAID.","Appeal outside of RRP6","None","Yes"," ","Informal Tented Settlement","Other","Urban areas","2. Learning environment","EDUCATION","1701","AJLOUN","1","North","01/04/2014","Men","","Boys","","BoysMen"," Informal Tented SettlementOtherUrban areas - "
"331","Ajlun",1511539854,4059,652847580,"Ajlun Governorate",727,"IRD","1. Psychosocial & resilience in pub. schools","EDUCATION-2. Learning environment",23608,11,"Girls - Other affected Population benefiting from psychosocial development course in public school setting including extra-curriculum activities, recreation activities ans sports.","2014-03",1064,"RRP6 - Performance Indicators","Individual","2014-03","North",,,,,"Activities arranged through Anjara Elementary School, involving students, parents, teachers, and community members. Only students will be recorded under this indicator. 

These activities are implemented through IRD's CISLE (Cultivating Inclusive and Supportive Learning Environments) program, which is funded by USAID.","Appeal outside of RRP6","None","Yes"," ","Informal Tented Settlement","Other","Urban areas","2. Learning environment","EDUCATION","1701","AJLOUN","1","North","01/03/2014","Men","","","Girls","GirlsMen"," Informal Tented SettlementOtherUrban areas - "
"332","Ajlun",1511539854,4059,652847580,"Ajlun Governorate",727,"IRD","1. Psychosocial & resilience in pub. schools","EDUCATION-2. Learning environment",23606,9,"Syrian Girls in Urban benefiting from psychosocial development course in public school setting including extra-curriculum activities, recreation activities ans sports.","2014-03",1064,"RRP6 - Performance Indicators","Individual","2014-03","North",,,,,"Activities arranged through Anjara Elementary School, involving students, parents, teachers, and community members. Only students will be recorded under this indicator. 

These activities are implemented through IRD's CISLE (Cultivating Inclusive and Supportive Learning Environments) program, which is funded by USAID.","Appeal outside of RRP6","None","Yes"," ","Informal Tented Settlement","Other","Urban areas","2. Learning environment","EDUCATION","1701","AJLOUN","1","North","01/03/2014","Men","","","Girls","GirlsMen"," Informal Tented SettlementOtherUrban areas - "
"333","Ajlun",1511539854,4059,652847580,"Ajlun Governorate",727,"IRD","1. Psychosocial & resilience in pub. schools","EDUCATION-2. Learning environment",23608,11,"Girls - Other affected Population benefiting from psychosocial development course in public school setting including extra-curriculum activities, recreation activities ans sports.","2014-04",1064,"RRP6 - Performance Indicators","Individual","2014-04","North",,,,,"Activities arranged through Anjara Elementary School, involving students, parents, teachers, and community members. Only students will be recorded under this indicator. 

These activities are implemented through IRD's CISLE (Cultivating Inclusive and Supportive Learning Environments) program, which is funded by USAID.","Appeal outside of RRP6","None","Yes"," ","Informal Tented Settlement","Other","Urban areas","2. Learning environment","EDUCATION","1701","AJLOUN","1","North","01/04/2014","Men","","","Girls","GirlsMen"," Informal Tented SettlementOtherUrban areas - "
"371","Ajlun",1214345097,4055,1826722391,"Liwa Qasabat Ajlun",754,"ICCS","2. Benefit  informal/non-formal/lifeskills","EDUCATION-1. Access to appropriate opportunities",23568,27,"Boys - Other affected Population benefiting from alternative education service such as non-formal education","2014-08",1064,"Alternative education","Individual","2014-08","North","Qasabat  Ajloun","Ajloun",,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/08/2014","","","Boys","","Boys","   Urban areas - "
"372","Ajlun",1214345097,4055,1826722391,"Liwa Qasabat Ajlun",754,"ICCS","2. Benefit  informal/non-formal/lifeskills","EDUCATION-1. Access to appropriate opportunities",23565,68,"Syrian Girls in Urban benefiting from alternative education service such as informal education and life skills","2014-12",1064,"Informal education and life skills","Individual","2014-12","North","Qasabat  Ajloun","Ajloun",,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/12/2014","","","","Girls","Girls","   Urban areas - "
"373","Ajlun",1214345097,4055,1826722391,"Liwa Qasabat Ajlun",754,"ICCS","2. Benefit  informal/non-formal/lifeskills","EDUCATION-1. Access to appropriate opportunities",23567,1,"Boys - Other affected Population benefiting from alternative education service such as informal education and life skills","2014-11",1064,"Informal education and life skills","Individual","2014-11","North","Qasabat  Ajloun","Ajloun",,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/11/2014","","","Boys","","Boys","   Urban areas - "
"381","Ajlun",351903639,4054,652847580,"Ajlun Governorate",1030,"SC Jordan","1. Benefit from formal educ (prim & sec)","EDUCATION-1. Access to appropriate opportunities",23551,1178,"Syrian Boys in Urban - # provided with information relevant for education and assisted with referral services","2014-10",1064,"Referral services","Individual","2014-10","North",,,,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/10/2014","","","Boys","","Boys","   Urban areas - "
"382","Ajlun",351903639,4054,652847580,"Ajlun Governorate",1030,"SC Jordan","1. Benefit from formal educ (prim & sec)","EDUCATION-1. Access to appropriate opportunities",23550,12,"Syrian Girls in Urban - # provided with information relevant for education and assisted with referral services","2014-06",1064,"Referral services","Individual","2014-06","North",,,,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/06/2014","","","","Girls","Girls","   Urban areas - "
"398","Ajlun",351903639,4054,652847580,"Ajlun Governorate",1030,"SC Jordan","1. Benefit from formal educ (prim & sec)","EDUCATION-1. Access to appropriate opportunities",23550,17,"Syrian Girls in Urban - # provided with information relevant for education and assisted with referral services","2014-12",1064,"Referral services","Individual","2014-12","North",,,,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/12/2014","","","","Girls","Girls","   Urban areas - "
"478","Ajlun",1404041503,4054,1826722391,"Liwa Qasabat Ajlun",754,"ICCS","1. Benefit from formal educ (prim & sec)","EDUCATION-1. Access to appropriate opportunities",23545,20,"Boys - Other affected Population- # who attend remedial and catch-up classes","2014-12",1064,"Remedial  classes","Individual","2014-12","North","Qasabat  Ajloun","Ajloun",,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/12/2014","","","Boys","","Boys","   Urban areas - "
"479","Ajlun",1404041503,4054,1826722391,"Liwa Qasabat Ajlun",754,"ICCS","1. Benefit from formal educ (prim & sec)","EDUCATION-1. Access to appropriate opportunities",23542,106,"Syrian Girls in Urban- # who attend remedial and catch-up classes","2014-10",1064,"Remedial  classes","Individual","2014-10","North","Qasabat  Ajloun","Ajloun",,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/10/2014","","","","Girls","Girls","   Urban areas - "
"491","Ajlun",1404041503,4054,1826722391,"Liwa Qasabat Ajlun",754,"ICCS","1. Benefit from formal educ (prim & sec)","EDUCATION-1. Access to appropriate opportunities",23542,179,"Syrian Girls in Urban- # who attend remedial and catch-up classes","2014-06",1064,"Remedial  classes","Individual","2014-06","North","Qasabat  Ajloun","Ajloun",,,"","Indirect appeal","UNICEF","Yes"," "," "," ","Urban areas","1. Access to appropriate opportunities","EDUCATION","1701","AJLOUN","1","North","01/06/2014","","","","Girls","Girls","   Urban areas - "
